Date,Team,Acquired,Relinquished,Notes
2/7/2013,Lakers,,Pau Gasol,placed on IL with torn plantar fascia in right foot
2/8/2013,76ers,,Jason Richardson,surgery on left knee (out for season) (date approximate)
2/8/2013,Blazers,,Sasha Pavlovic,placed on IL with left foot injury
2/8/2013,Blazers,Ronnie Price,,activated from IL
2/8/2013,Bobcats,,DeSagana Diop,placed on IL
2/8/2013,Bobcats,Michael Kidd-Gilchrist,,activated from IL
2/8/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/8/2013,Clippers,Chauncey Billups,,activated from IL
2/8/2013,Hawks,,DeShawn Stevenson,placed on IL
2/8/2013,Hawks,Zaza Pachulia,,activated from IL
2/8/2013,Heat,,Ray Allen,illness/flu (DNP)
2/8/2013,Jazz,,Earl Watson,sore right leg (DNP)
2/8/2013,Jazz,,Gordon Hayward,strained right shoulder (DNP)
2/8/2013,Magic,,Glen Davis,placed on IL with fractured left foot (out for season)
2/8/2013,Magic,,Hedo Turkoglu,flu (DNP)
2/8/2013,Magic,,J.J. Redick,sore right shoulder (DNP)
2/8/2013,Magic,Arron Afflalo,,activated from IL
2/8/2013,Nets,,Jerry Stackhouse,stiff neck (DNP)
2/8/2013,Pacers,,Sam Young,sore throat / flu (DNP)
2/8/2013,Pistons,,Andre Drummond,placed on IL with stress fracture in back
2/8/2013,Pistons,Corey Maggette,,activated from IL
2/8/2013,Raptors,,Linas Kleiza,sore right knee (DNP)
2/8/2013,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2/8/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/8/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/8/2013,Warriors,,Jarrett Jack,right shoulder injury (DNP)
2/8/2013,Warriors,,Jeremy Tyler,placed on IL
2/8/2013,Warriors,Andrew Bogut,,activated from IL
2/8/2013,Wizards,,Jordan Crawford,DNP
2/8/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/9/2013,76ers,,Jason Richardson,placed on IL with surgery on left knee (out for season)
2/9/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/9/2013,Warriors,,Andrew Bogut,placed on IL with sore left ankle / rest
2/9/2013,Warriors,,Jarrett Jack,bruised right shoulder (DNP)
2/9/2013,Warriors,Jeremy Tyler,,activated from IL
2/10/2013,Grizzlies,Quincy Pondexter,,activated from IL
2/10/2013,Heat,,Jarvis Varnado,placed on IL
2/10/2013,Heat,Chris Bosh,,activated from IL
2/10/2013,Magic,,Hedo Turkoglu,sore back (DNP)
2/10/2013,Raptors,,Andrea Bargnani,flu (DNP)
2/10/2013,Raptors,,Linas Kleiza,placed on IL with sore right knee
2/10/2013,Raptors,Landry Fields,,activated from IL
2/10/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/10/2013,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2/10/2013,Thunder,,Kevin Martin,flu (DNP)
2/10/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/10/2013,Timberwolves,,Jose Barea ,left foot injury (DNP)
2/10/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/11/2013,Bobcats,,Tyrus Thomas,placed on IL
2/11/2013,Bobcats,DeSagana Diop,,activated from IL
2/11/2013,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2/11/2013,Clippers,,Caron Butler,sore lower back (DNP)
2/11/2013,Clippers,,Chauncey Billups,sore lower back (DNP)
2/11/2013,Hawks,,Johan Petro,placed on IL
2/11/2013,Hawks,DeShawn Stevenson,,activated from IL
2/11/2013,Hawks,Zaza Pachulia,,activated from IL (P)
2/11/2013,Hornets,,Eric Gordon,knee injury (DNP)
2/11/2013,Nets,,Deron Williams,placed on IL with ankle injury
2/11/2013,Nets,Tornike Shengelia,,activated from IL
2/11/2013,Pacers,,Sam Young,sore throat / flu (DNP)
2/11/2013,Spurs,, Tony Parker,knee injury (DNP)
2/11/2013,Spurs,,Manu Ginobili,sore left hamstring (DNP)
2/11/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/11/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/11/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/12/2013,Blazers,,Will Barton,placed on IL
2/12/2013,Blazers,Sasha Pavlovic,,activated from IL
2/12/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (out for season)
2/12/2013,Heat,,Mike Miller,placed on IL with flu
2/12/2013,Heat,Jarvis Varnado,,activated from IL
2/12/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/12/2013,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2/12/2013,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2/12/2013,Nuggets,,Wilson Chandler,tightness in left groin (DNP)
2/12/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/12/2013,Warriors,,Jeremy Tyler,placed on IL
2/12/2013,Warriors,Andrew Bogut,,activated from IL
2/13/2013,Blazers,,Nolan Smith,placed on IL
2/13/2013,Blazers,Will Barton,,activated from IL
2/13/2013,Celtics,,Rajon Rondo,surgery on left knee to repair torn ACL (out for season)
2/13/2013,Hawks,Johan Petro,,activated from IL
2/13/2013,Hornets,,Eric Gordon,sprained right hand (DNP)
2/13/2013,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
2/13/2013,Kings,,Marcus Thornton ,placed on IL with bruised right hand
2/13/2013,Kings,Tyler Honeycutt,,activated from IL
2/13/2013,Nuggets,,Andre Iguodala,right cervical strain (DNP)
2/13/2013,Nuggets,,Danilo Gallinari,sinus infection (DNP)
2/13/2013,Pacers,,David West,placed on IL with eye injury
2/13/2013,Pacers,Miles Plumlee,,activated from IL
2/13/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/13/2013,Spurs,Tim Duncan,,activated from IL
2/13/2013,Timberwolves,,Andrei Kirilenko,sprained right quadricep (DNP)
2/13/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/13/2013,Wizards,,Trevor Booker,sore left wrist (DNP)
2/14/2013,Heat,,Udonis Haslem,placed on IL with leg injury
2/14/2013,Heat,Mike Miller,,activated from IL
2/19/2013,Blazers,,Wes Matthews Jr.,placed on IL with sprained right ankle
2/19/2013,Blazers,Nolan Smith,,activated from IL
2/19/2013,Bucks,,Marquis Daniels,placed on IL with illness
2/19/2013,Bucks,Larry Sanders ,,activated from IL
2/19/2013,Bulls,Kirk Hinrich,,activated from IL (P)
2/19/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2/19/2013,Kings,Marcus Thornton ,,activated from IL
2/19/2013,Nets,,Tornike Shengelia,placed on IL
2/19/2013,Nets,Deron Williams,,activated from IL
2/20/2013,Bobcats,,Ben Gordon,sore right knee (DNP)
2/20/2013,Bucks,,Joel Przybilla,placed on IL
2/20/2013,Bucks,Marquis Daniels,,activated from IL
2/20/2013,Celtics,,Leandro Barbosa,torn ACL in left knee (DNP)
2/20/2013,Heat,,Mike Miller,placed on IL with ear infection
2/20/2013,Heat,Udonis Haslem,,activated from IL
2/20/2013,Hornets,,Eric Gordon,sprained right hand (DNP)
2/20/2013,Hornets,,Eric Gordon,DNP
2/20/2013,Pacers,,Miles Plumlee,placed on IL
2/20/2013,Pacers,David West,,activated from IL
2/20/2013,Rockets,,Marcus Morris,placed on IL
2/20/2013,Rockets,Greg Smith ,,activated from IL
2/20/2013,Rockets,Terrence Jones,,activated from IL
2/20/2013,Thunder,,Kendrick Perkins,placed on IL with sprained right knee
2/20/2013,Thunder,Jeremy Lamb,,activated from IL
2/20/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/20/2013,Rockets,,Toney Douglas,left hip pointer (DNP)
2/21/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/21/2013,Spurs,,Kawhi Leonard,placed on IL with knee injury
2/22/2013,Blazers,,Eric Maynor,placed on IL
2/22/2013,Blazers,Wes Matthews Jr.,,activated from IL
2/22/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/22/2013,Celtics,,Kevin Garnett,DNP
2/22/2013,Hawks,,Jeremy Tyler,placed on IL
2/22/2013,Hawks,Johan Petro,,activated from IL (P)
2/22/2013,Magic,,Jameer Nelson,strained patellar tendon in left knee (DNP)
2/22/2013,Nets,,Jerry Stackhouse,illness (DNP)
2/22/2013,Nets,,Joe Johnson,placed on IL with plantar fasciitis in left foot
2/22/2013,Nets,Tornike Shengelia,,activated from IL
2/22/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/22/2013,Raptors,,Terrence Ross,stomach flu (DNP)
2/22/2013,Spurs,,Aron Baynes,placed on IL
2/22/2013,Spurs,,Stephen Jackson,DNP
2/22/2013,Spurs,Kawhi Leonard,,activated from IL
2/22/2013,Suns,,Hamed Haddadi,placed on IL
2/22/2013,Suns,Diante Garrett,,activated from IL
2/22/2013,Thunder,,Ronnie Brewer,placed on IL
2/22/2013,Thunder,Kendrick Perkins,,activated from IL
2/22/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/22/2013,Warriors,,Andrew Bogut,placed on IL with back injury
2/23/2013,Bucks,,Ish Smith,placed on IL
2/23/2013,Cavaliers,,Omri Casspi,abdominal pain / appendectomy (CBC) (DNP)
2/23/2013,Magic,,Jameer Nelson,bruised left knee (DNP)
2/23/2013,Pacers,,Ben Hansbrough,placed on IL
2/23/2013,Pacers,Danny Granger,,activated from IL
2/23/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/23/2013,Pistons,,Corey Maggette,flu (DNP)
2/24/2013,76ers,Thaddeus Young,,activated from IL
2/24/2013,Bulls,,Kirk Hinrich,sore right elbow (DNP)
2/24/2013,Heat,,Jarvis Varnado,placed on IL
2/24/2013,Heat,Mike Miller,,activated from IL
2/24/2013,Kings,,Cole Aldrich,placed on IL
2/24/2013,Mavericks,,Dominique Jones,placed on IL
2/24/2013,Mavericks,Chris Kaman,,activated from IL
2/24/2013,Spurs,, Tony Parker,sore triceps (DNP)
2/24/2013,Spurs,,Gary Neal,placed on IL with calf injury
2/24/2013,Spurs,Aron Baynes,,activated from IL
2/24/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/24/2013,Cavaliers,,Omri Casspi,appendectomy (out indefinitely)
2/24/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/25/2013,Hawks,,Zaza Pachulia,placed on IL with Achilles tendon injury
2/25/2013,Hawks,Jeremy Tyler,,activated from IL
2/25/2013,Nuggets,,Danilo Gallinari,placed on IL with bruised left thigh
2/25/2013,Nuggets,Julyan Stone,,activated from IL
2/25/2013,Pistons,,Brandon Knight,hyperextended right knee (P) / sprained right ankle (CBC) (DNP)
2/25/2013,Raptors,,Mickael Pietrus,placed on IL
2/25/2013,Raptors,,Sebastian Telfair,flu (DNP)
2/26/2013,Bucks,Joel Przybilla,,activated from IL
2/26/2013,Bulls,,Taj Gibson,sprained left knee (DNP)
2/26/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
2/26/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/26/2013,Clippers,,Eric Bledsoe,left calf injury (DNP)
2/26/2013,Heat,,Shane Battier,placed on IL with hamstring injury
2/26/2013,Heat,Jarvis Varnado,,activated from IL
2/26/2013,Magic,,Jameer Nelson,strained left knee (DNP)
2/26/2013,Magic,Al Harrington,,activated from IL
2/26/2013,Nets,Joe Johnson,,activated from IL
2/26/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/26/2013,Bucks,,Samuel Dalembert,placed on IL
2/27/2013,Blazers,,Nolan Smith,placed on IL with left knee injury
2/27/2013,Blazers,Eric Maynor,,activated from IL
2/27/2013,Bucks,,Joel Przybilla,placed on IL
2/27/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
2/27/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/27/2013,Hawks,,Jeremy Tyler,placed on IL
2/27/2013,Hawks,Zaza Pachulia,,activated from IL
2/27/2013,Hornets,,Anthony Davis,sprained left shoulder (DNP)
2/27/2013,Hornets,,Eric Gordon,sore knee (DNP)
2/27/2013,Jazz,,Paul Millsap,sprained left ankle (DNP)
2/27/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
2/27/2013,Rockets,,Tyler Honeycutt,placed on IL
2/27/2013,Thunder,,Daniel Orton,placed on IL
2/27/2013,Thunder,,Jeremy Lamb,placed on IL
2/27/2013,Thunder,Ronnie Brewer,,activated from IL
2/27/2013,Wizards,,Leandro Barbosa,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
2/27/2013,Wizards,,Nene Hilario ,placed on IL with right shoulder injury
2/27/2013,Wizards,Cartier Martin,,activated from IL
2/27/2013,Bucks,Samuel Dalembert,,activated from IL
2/28/2013,Bulls,,Richard Hamilton,lower back spasms (DNP)
2/28/2013,Bulls,,Taj Gibson,sore left knee (DNP)
2/28/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
2/28/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/1/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
3/1/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/1/2013,Hawks,Jeremy Tyler,,activated from IL
3/1/2013,Heat,Shane Battier,,activated from IL
3/1/2013,Hornets,,Anthony Davis,sprained left shoulder (DNP)
3/1/2013,Hornets,,Jason Smith,torn labrum in right shoulder (DNP)
3/1/2013,Jazz,,Al Jefferson,sprained left ankle (DNP)
3/1/2013,Jazz,,Paul Millsap,sprained left ankle (DNP)
3/1/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
3/1/2013,Mavericks,,Anthony Morrow,placed on IL with hip injury
3/1/2013,Mavericks,Dominique Jones,,activated from IL
3/1/2013,Nets,,Tornike Shengelia,placed on IL
3/1/2013,Nuggets,,Julyan Stone,placed on IL
3/1/2013,Nuggets,Danilo Gallinari,,activated from IL
3/1/2013,Spurs,,Boris Diaw,placed on IL with strained back
3/1/2013,Spurs,,Stephen Jackson,sprained right ankle (DNP)
3/1/2013,Spurs,Cory Joseph,,activated from IL
3/1/2013,Thunder,,DeAndre Liggins,placed on IL
3/1/2013,Thunder,,Perry Jones III,placed on IL
3/1/2013,Thunder,Daniel Orton,,activated from IL
3/1/2013,Celtics,,Fab Melo,placed on IL
3/1/2013,Hawks,, Mike Scott,placed on IL
3/1/2013,Heat,,Jarvis Varnado,placed on IL
3/2/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/2/2013,Blazers,,Sasha Pavlovic,placed on IL with bruised quadriceps
3/2/2013,Blazers,Nolan Smith,,activated from IL
3/2/2013,Bulls,,Richard Hamilton,sore lower back (DNP)
3/2/2013,Bulls,,Taj Gibson,placed on IL with sore left knee
3/2/2013,Raptors,,Rudy Gay,back spasms (DNP)
3/2/2013,Spurs,, Tony Parker,sprained left ankle (out indefinitely)
3/2/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/2/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/2/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/3/2013,76ers,,Nick Young,left foot injury (DNP)
3/3/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/3/2013,Bulls,,Richard Hamilton,placed on IL with sore lower back
3/3/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/3/2013,Kings,Cole Aldrich,,activated from IL
3/3/2013,Knicks,,Chris Copeland,placed on IL
3/3/2013,Knicks,Marcus Camby,,activated from IL
3/3/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
3/3/2013,Spurs,, Tony Parker,placed on IL with sprained left ankle
3/3/2013,Spurs,Gary Neal,,activated from IL
3/3/2013,Wizards,,Jason Collins,placed on IL
3/3/2013,Wizards,Nene Hilario ,,activated from IL
3/4/2013,Cavaliers,,Dion Waiters,illness / calf ailment (CBC) (DNP)
3/4/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/4/2013,Cavaliers,,Tyler Zeller,illness (DNP)
3/4/2013,Hawks,,Kyle Korver,sprained right big toe (DNP)
3/4/2013,Hawks,,Zaza Pachulia,sore right Achilles tendon (DNP)
3/4/2013,Hornets,,Jason Smith,placed on IL with torn labrum in right shoulder (out for season)
3/4/2013,Jazz,,Al Jefferson,sprained left ankle (DNP)
3/4/2013,Raptors,Linas Kleiza,,activated from IL
3/4/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/4/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/4/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/4/2013,Warriors,Andrew Bogut,,activated from IL
3/4/2013,Raptors,,Quincy Acy,placed on IL
3/5/2013,Thunder,,Daniel Orton,placed on IL
3/5/2013,Thunder,DeAndre Liggins,,activated from IL
3/5/2013,Thunder,Perry Jones III,,activated from IL
3/6/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/6/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/6/2013,Cavaliers,,Daniel Gibson,illness (DNP)
3/6/2013,Cavaliers,,Dion Waiters,illness / calf ailment (CBC) (DNP)
3/6/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/6/2013,Grizzlies,,Darrell Arthur,back injury (DTD)
3/6/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/6/2013,Hawks,,Zaza Pachulia,placed on IL with sore right Achilles tendon (out for season)
3/6/2013,Jazz,,Al Jefferson,placed on IL with sprained left ankle
3/6/2013,Jazz,Mo Williams,,activated from IL
3/6/2013,Knicks,,Carmelo Anthony,placed on IL with sore right knee
3/6/2013,Knicks,Chris Copeland,,activated from IL
3/6/2013,Nets,Tornike Shengelia,,activated from IL
3/6/2013,Pacers,,Danny Granger,placed on IL with sore left knee (out for season)
3/6/2013,Pacers,Ben Hansbrough,,activated from IL
3/6/2013,Pistons,,Charlie Villanueva,sore left hamstring (DNP)
3/6/2013,Pistons,,Greg Monroe,sore left ankle (DNP)
3/6/2013,Raptors,,Linas Kleiza,placed on IL
3/6/2013,Raptors,Mickael Pietrus,,activated from IL
3/6/2013,Rockets,,Terrence Jones,placed on IL
3/6/2013,Spurs,,Aron Baynes,placed on IL
3/6/2013,Spurs,Boris Diaw,,activated from IL
3/6/2013,Suns,Hamed Haddadi,,activated from IL
3/6/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/6/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/6/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/6/2013,Wizards,,Bradley Beal,placed on IL with sprained left ankle
3/6/2013,Wizards,Jason Collins,,activated from IL
3/6/2013,Hawks, Mike Scott,,activated from IL
3/7/2013,Bobcats,,Ramon Sessions,sprained MCL in left knee (out for season)
3/7/2013,Clippers,,Jamal Crawford,sore left ankle (DNP)
3/7/2013,Hornets,,Austin Rivers,fractured hand (out indefinitely)
3/7/2013,Suns,,Marcin Gortat,sprained right foot (out indefinitely)
3/7/2013,Thunder,Jeremy Lamb,,activated from IL
3/7/2013,Thunder,,DeAndre Liggins,placed on IL
3/8/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/8/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/8/2013,Cavaliers,,Daniel Gibson,illness (DNP)
3/8/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/8/2013,Grizzlies,,Darrell Arthur,sore neck (DNP)
3/8/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/8/2013,Hawks,,Ivan Johnson,left finger injury (DNP) (CBC)
3/8/2013,Jazz,,Kevin Murphy,placed on IL
3/8/2013,Jazz,Al Jefferson,,activated from IL
3/8/2013,Mavericks,,Shawn Marion,placed on IL with bruised left calf
3/8/2013,Mavericks,Anthony Morrow,,activated from IL
3/8/2013,Pacers,,Ben Hansbrough,placed on IL
3/8/2013,Pacers,Miles Plumlee,,activated from IL
3/8/2013,Raptors,,Mickael Pietrus,placed on IL
3/8/2013,Raptors,Linas Kleiza,,activated from IL
3/8/2013,Suns,,Marcin Gortat,placed on IL with sprained right foot (out for season)
3/9/2013,Bucks,,Ersan Ilyasova,placed on IL with left knee injury
3/9/2013,Bucks,Ish Smith,,activated from IL
3/9/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/9/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/9/2013,Hornets,,Austin Rivers,placed on IL with fractured right hand (out for season)
3/9/2013,Jazz,,Paul Millsap,placed on IL with right knee inflammation
3/9/2013,Jazz,Kevin Murphy,,activated from IL
3/9/2013,Knicks,,Amar'e Stoudemire,placed on IL with knee injury
3/9/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/9/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/9/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/9/2013,Warriors,,David Lee,bruised right knee (DNP)
3/10/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/10/2013,Blazers,,Meyers Leonard,sprained right ankle (DNP)
3/10/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/10/2013,Bucks,,J.J. Redick,ankle injury (DNP)
3/10/2013,Bucks,,Larry Sanders ,placed on IL with knee injury
3/10/2013,Bucks,Ersan Ilyasova,,activated from IL
3/10/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/10/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/10/2013,Clippers,,Eric Bledsoe,placed on IL with sore left calf
3/10/2013,Clippers,,Jamal Crawford,sore left ankle (DNP)
3/10/2013,Hornets,,Eric Gordon,rest / right knee injury (DNP)
3/10/2013,Pacers,,Miles Plumlee,placed on IL
3/10/2013,Pacers,Ben Hansbrough,,activated from IL
3/10/2013,Raptors,,Andrea Bargnani,placed on IL with strained right elbow (out for season)
3/10/2013,Raptors,,Rudy Gay,stiff back (DNP)
3/10/2013,Raptors,Mickael Pietrus,,activated from IL
3/10/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/10/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/10/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/10/2013,Jazz,Raja Bell,,activated from IL
3/11/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/11/2013,Cavaliers,,Kyrie Irving,sprained left shoulder (out indefinitely)
3/11/2013,Jazz,,Jamaal Tinsley,placed on IL with illness
3/11/2013,Knicks,Carmelo Anthony,,activated from IL
3/11/2013,Pistons,,Jason Maxiell,sprained right ankle (DNP)
3/12/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/12/2013,Bobcats,,DeSagana Diop,sore right knee (DNP)
3/12/2013,Bucks,,Luc Mbah a Moute,placed on IL with turf toe
3/12/2013,Bucks,Larry Sanders ,,activated from IL
3/12/2013,Cavaliers,,Kyrie Irving,placed on IL with sprained left shoulder
3/12/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/12/2013,Celtics,,Paul Pierce,DNP
3/12/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/12/2013,Hornets,,Ryan Anderson,viral infection (DNP)
3/12/2013,Nets,,Joe Johnson,placed on IL with sore left heel
3/12/2013,Spurs,,Kawhi Leonard,sore left knee (DNP)
3/12/2013,Spurs,,Tim Duncan,placed on IL with sore left knee
3/12/2013,Spurs,Aron Baynes,,activated from IL
3/12/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/12/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/12/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/13/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/13/2013,Clippers,,Caron Butler,strained left calf / left elbow injury (CBC) (DNP)
3/13/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/13/2013,Hawks,,Jeff Teague,sprained left ankle (DNP)
3/13/2013,Hawks,,Josh Smith,sprained left knee (DNP)
3/13/2013,Jazz,,Travis Leslie,placed on IL
3/13/2013,Jazz,Paul Millsap,,activated from IL
3/13/2013,Kings,,DeMarcus Cousins,thigh injury (DNP)
3/13/2013,Pacers,,Ben Hansbrough,placed on IL
3/13/2013,Pacers,Miles Plumlee,,activated from IL
3/13/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/13/2013,Rockets,,Tim Ohlbrecht,sprained right ankle (DNP)
3/13/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/13/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/13/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/13/2013,Wizards,,A.J. Price,groin injury (DNP)
3/14/2013,Knicks,,Carmelo Anthony,placed on IL with sore right knee
3/14/2013,Knicks,,Tyson Chandler,bruised left knee / strained neck (DNP)
3/14/2013,Lakers,,Kobe Bryant,sprained left ankle (out indefinitely)
3/14/2013,Spurs,,Aron Baynes,placed on IL
3/14/2013,Spurs,Tim Duncan,,activated from IL
3/14/2013,Clippers,Trey Thompkins,,activated from IL
3/15/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/15/2013,Cavaliers,,Wayne Ellington,sprained left ankle (DNP)
3/15/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/15/2013,Magic,,Andrew Nicholson,illness (DNP)
3/15/2013,Rockets,,Tim Ohlbrecht,sprained right ankle (DNP)
3/15/2013,Thunder,,Hasheem Thabeet,sore lower back (DNP)
3/15/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/15/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/15/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/15/2013,Wizards,,A.J. Price,sore right groin (DNP)
3/16/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/16/2013,Celtics,,Kevin Garnett,strained left abductor (DNP)
3/16/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/16/2013,Grizzlies,,Tony Wroten Jr.,migraine headache (DNP)
3/16/2013,Jazz,,Kevin Murphy,placed on IL
3/16/2013,Jazz,Jamaal Tinsley,,activated from IL
3/16/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/16/2013,Wizards,,A.J. Price,sore right knee (DNP)
3/16/2013,Wizards,,Trevor Ariza,sore left knee (DNP)
3/16/2013,Wizards,Bradley Beal,,activated from IL
3/17/2013,Clippers,,Ronny Turiaf,placed on IL with left knee injury
3/17/2013,Kings,,DeMarcus Cousins,bruised left quadriceps (DNP)
3/17/2013,Knicks,,Tyson Chandler,strained neck (DNP)
3/17/2013,Lakers,,Kobe Bryant,sprained left ankle (DNP)
3/17/2013,Mavericks,,Rodrigue Beaubois,fractured left hand (out indefinitely)
3/17/2013,Nets,,Tyshawn Taylor,placed on IL
3/17/2013,Nets,Joe Johnson,,activated from IL
3/17/2013,Rockets,,Tim Ohlbrecht,placed on IL
3/17/2013,Rockets,Terrence Jones,,activated from IL
3/17/2013,Thunder,,Hasheem Thabeet,sore lower back (DNP)
3/17/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
