PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Lavoy Allen,IND,63,29,34,1070,379547,71.9,38.7,33.2,4.06,4.18,3.92,2014
Larry Sanders,MIL,27,12,15,586,210114,39.8,20.3,19.5,4.06,4.34,3.81,2014
Larry Drew II,PHI,12,4,8,219,85793,16.2,8.9,7.4,4.44,4.83,4.1,2014
Langston Galloway,NYK,44,12,32,1429,545856,103.4,57.6,45.8,4.36,4.69,4,2014
Landry Fields,TOR,26,16,10,216,88367,16.7,9.2,7.6,4.57,4.72,4.45,2014
Lance Thomas,NYK,61,20,41,1473,561715,106.4,57.5,48.9,4.35,4.49,4.2,2014
Lance Stephenson,CHA,61,23,38,1573,555450,105.2,58.2,47,4.02,4.31,3.71,2014
LaMarcus Aldridge,POR,71,48,23,2512,848272,160.7,85.7,74.9,3.84,4,3.67,2014
Kyrie Irving,CLE,74,52,22,2687,940078,178,94.7,83.4,3.98,4.17,3.78,2014
Kyle Singler,OKC,80,36,44,1744,712693,135,74.5,60.5,4.66,5.16,4.16,2014
Kyle O'Quinn,ORL,51,15,36,824,287011,54.4,28.9,25.5,3.97,4.22,3.73,2014
Kyle Lowry,TOR,70,43,27,2414,843820,159.8,86.6,73.2,3.97,4.21,3.72,2014
Kyle Korver,ATL,75,58,17,2418,932296,176.6,94,82.5,4.39,4.78,4.01,2014
Kyle Anderson,SAS,33,22,11,358,139778,26.5,14.8,11.7,4.45,4.79,4.08,2014
Kris Humphries,WAS,64,37,27,1345,495577,93.9,49.9,44,4.2,4.45,3.94,2014
Kostas Papanikolaou,HOU,42,28,14,771,312139,59.1,32.2,27,4.6,5.04,4.18,2014
Kosta Koufos,MEM,81,55,26,1348,497498,94.2,49.9,44.3,4.2,4.52,3.9,2014
Kobe Bryant,LAL,35,10,25,1207,411099,77.9,42.4,35.5,3.88,4.08,3.66,2014
Klay Thompson,GSW,77,64,13,2455,948857,179.7,92.8,86.9,4.33,4.91,3.85,2014
Kirk Hinrich,CHI,66,37,29,1610,642241,121.6,66.2,55.4,4.54,4.84,4.23,2014
Khris Middleton,MIL,78,39,39,2345,875715,165.9,85,80.9,4.25,4.58,3.94,2014
Kevin Seraphin,WAS,79,45,34,1235,453390,85.9,45.8,40.1,4.18,4.4,3.94,2014
Kevin Martin,MIN,38,11,27,1280,463515,87.8,46.4,41.4,4.12,4.37,3.86,2014
Kevin Love,CLE,74,50,24,2493,856498,162.2,86.5,75.8,3.91,4.1,3.73,2014
Kevin Garnett,MIN,47,20,27,952,343950,65.1,34.9,30.2,4.11,4.42,3.79,2014
Kevin Durant,OKC,27,18,9,913,308733,58.5,30.8,27.6,3.85,4.2,3.51,2014
Kenyon Martin,MIL,10,6,4,102,34840,6.6,3.4,3.2,3.89,3.97,3.8,2014
Kentavious Caldwell-Pope,DET,82,32,50,2587,984155,186.4,101.6,84.8,4.33,4.66,4,2014
Kent Bazemore,ATL,75,53,22,1323,519072,98.3,50.4,47.9,4.47,4.66,4.28,2014
Kenneth Faried,DEN,75,30,45,2086,770282,145.9,75.6,70.2,4.21,4.47,3.95,2014
Kendrick Perkins,CLE,68,38,30,1148,394827,74.8,39.4,35.4,3.92,4.12,3.72,2014
Kendall Marshall,MIL,27,12,15,414,153318,29,15.1,13.9,4.21,4.61,3.84,2014
Kemba Walker,CHA,62,21,41,2119,790279,149.7,86.1,63.5,4.24,4.76,3.69,2014
Kelly Olynyk,BOS,64,31,33,1423,534278,101.2,54.4,46.8,4.29,4.88,3.77,2014
Kawhi Leonard,SAS,64,46,18,2033,790421,149.7,81.3,68.4,4.43,4.78,4.07,2014
Kalin Lucas,MEM,1,0,1,6,2137,0.4,0.2,0.2,4.33,4.03,4.69,2014
KJ McDaniels,HOU,62,19,43,1352,508197,96.2,49.7,46.5,4.27,4.52,4.04,2014
Jusuf Nurkic,DEN,62,21,41,1103,399765,75.7,39.5,36.2,4.12,4.41,3.84,2014
Justin Holiday,GSW,59,49,10,657,255954,48.5,25.3,23.2,4.35,4.79,3.96,2014
Justin Hamilton,MIN,41,6,35,713,269807,51.1,26.8,24.3,4.3,4.61,4,2014
Julius Randle,LAL,1,0,1,14,4552,0.9,0.4,0.4,3.99,3.42,3.68,2014
Jrue Holiday,NOP,40,20,20,1303,494165,93.6,51.2,42.4,4.31,4.78,3.85,2014
Josh Smith,HOU,83,41,42,2301,767718,145.4,76.5,68.9,3.8,4.01,3.59,2014
Josh McRoberts,MIA,17,8,9,296,110010,20.8,11.5,9.3,4.19,4.62,3.77,2014
Jose Calderon,NYK,41,7,34,1233,465445,88.2,50.7,37.4,4.31,4.76,3.82,2014
Jorge Gutierrez,MIL,20,10,10,174,70522,13.4,6.9,6.5,4.61,4.92,4.32,2014
Jordan Hill,LAL,70,19,51,1874,658286,124.7,67.3,57.4,3.99,4.14,3.84,2014
Jordan Hamilton,LAC,14,10,4,122,46780,8.9,4.5,4.3,4.38,4.41,4.24,2014
Jordan Farmar,LAC,36,23,13,529,200453,38,20.3,17.6,4.32,4.61,4,2014
Jordan Clarkson,LAL,59,11,48,1476,572474,108.4,60,48.4,4.41,4.69,4.11,2014
Jordan Adams,MEM,30,14,16,248,95622,18.1,9.4,8.7,4.37,4.78,3.99,2014
Jonas Valanciunas,TOR,80,47,33,2096,745172,141.1,75.1,66,4.05,4.19,3.91,2014
Jonas Jerebko,BOS,75,37,38,1230,472603,89.5,48.4,41.1,4.38,4.74,4.02,2014
Jon Leuer,MEM,63,45,18,824,321948,61,32.5,28.4,4.46,4.79,4.11,2014
Johnny O'Bryant III,MIL,33,16,17,357,132882,25.2,12.9,12.2,4.29,4.42,4.13,2014
John Wall,WAS,79,45,34,2837,1007593,190.8,101.4,89.4,4.03,4.39,3.69,2014
John Salmons,NOP,21,9,12,270,96826,18.3,10.1,8.3,4.07,4.29,3.88,2014
John Lucas III,DET,21,8,13,272,108198,20.5,11.2,9.3,4.54,4.87,4.19,2014
John Jenkins,ATL,24,13,11,297,112540,21.3,11,10.3,4.31,4.57,4.05,2014
John Henson,MIL,66,34,32,1211,439290,83.2,41.4,41.8,4.13,4.32,3.95,2014
Joffrey Lauvergne,DEN,24,9,15,268,98605,18.7,10.1,8.6,4.19,4.43,3.94,2014
Joey Dorsey,HOU,68,47,21,851,312120,59.1,31.4,27.7,4.18,4.48,3.88,2014
Joel Freeland,POR,48,34,14,617,226251,42.9,22.7,20.1,4.18,4.43,3.92,2014
Joel Anthony,DET,49,25,24,406,154733,29.3,15.7,13.6,4.33,4.56,4.09,2014
Joe Johnson,BKN,80,38,42,2791,1000071,189.4,103.8,85.6,4.07,4.45,3.7,2014
Joe Ingles,UTA,79,36,43,1673,628823,119.1,65.8,53.3,4.28,4.53,4.01,2014
Joe Harris,CLE,51,32,19,493,190639,36.1,19.9,16.2,4.39,4.7,4.07,2014
Jodie Meeks,DET,60,29,31,1462,570716,108.1,59.2,48.9,4.44,4.86,4.02,2014
Joakim Noah,CHI,67,39,28,2049,735479,139.3,75.7,63.6,4.09,4.35,3.82,2014
Jimmy Butler,CHI,65,40,25,2513,950453,180,96.8,83.2,4.31,4.53,4.07,2014
Jimmer Fredette,NOP,50,27,23,509,198073,37.5,21.3,16.2,4.42,4.85,3.96,2014
Jerryd Bayless,MIL,76,38,38,1700,626514,118.7,62.8,55.8,4.19,4.6,3.81,2014
Jerrelle Benimon,DEN,2,2,0,3,856,0.2,0.1,0.1,4.41,4,4.91,2014
Jerome Jordan,BKN,44,17,27,383,136202,25.8,13.3,12.5,4.06,4.28,3.85,2014
Jeremy Lin,LAL,74,19,55,1907,709078,134.3,72.7,61.6,4.23,4.51,3.94,2014
Jeremy Lamb,OKC,47,27,20,633,228176,43.2,23.1,20.2,4.1,4.36,3.86,2014
Jeremy Evans,UTA,38,19,19,266,100999,19.1,10.4,8.7,4.33,4.61,4.03,2014
Jerel McNeal,PHX,6,1,5,36,13679,2.6,1.4,1.2,4.29,4.7,3.9,2014
Jerami Grant,PHI,65,18,47,1377,537882,101.9,55,46.9,4.45,4.8,4.09,2014
Jeffery Taylor,CHA,29,11,18,430,165101,31.3,16.5,14.8,4.37,4.58,4.16,2014
Jeff Withey,NOP,37,17,20,259,97618,18.5,10.2,8.3,4.28,4.62,3.93,2014
Jeff Teague,ATL,73,53,20,2228,771255,146.1,79.6,66.5,3.95,4.38,3.54,2014
Jeff Green,MEM,78,41,37,2455,869682,164.7,87.5,77.2,4.04,4.33,3.75,2014
Jeff Ayres,SAS,51,33,18,383,142706,27,15.1,11.9,4.23,4.45,3.98,2014
Jeff Adrien,HOU,17,1,16,215,72659,13.8,7.2,6.5,3.84,3.96,3.66,2014
Jason Thompson,SAC,81,29,52,1991,725623,137.4,73.1,64.3,4.15,4.43,3.87,2014
Jason Terry,HOU,76,52,24,1618,611266,115.8,61.6,54.2,4.3,4.63,3.98,2014
Jason Smith,NYK,81,17,64,1770,663229,125.6,68.8,56.8,4.26,4.52,3.99,2014
Jason Richardson,PHI,19,4,15,416,154536,29.3,15.5,13.8,4.24,4.44,4.03,2014
Jason Maxiell,CHA,61,22,39,878,315836,59.8,33,26.8,4.09,4.37,3.79,2014
Jarrett Jack,BKN,80,36,44,2241,807842,153,83.4,69.6,4.1,4.43,3.76,2014
Jarnell Stokes,MEM,19,12,7,126,47729,9,4.6,4.4,4.27,4.47,4.09,2014
Jared Sullinger,BOS,58,26,32,1566,546387,103.5,54.3,49.2,3.97,4.31,3.65,2014
Jared Dudley,MIL,71,38,33,1694,611219,115.8,59.7,56.1,4.12,4.43,3.82,2014
Jared Cunningham,LAC,19,12,7,89,34906,6.6,3.3,3.4,4.45,4.53,4.52,2014
Jannero Pargo,CHA,9,2,7,73,27025,5.1,2.7,2.4,4.17,4.72,3.69,2014
James Young,BOS,31,14,17,332,126736,24,12.4,11.6,4.39,4.63,4.15,2014
James Michael McAdoo,GSW,15,11,4,137,54745,10.4,5.6,4.8,4.49,5.01,4.01,2014
James Jones,CLE,56,35,21,665,243915,46.2,25.7,20.5,4.17,4.41,3.9,2014
James Johnson,TOR,70,40,30,1370,499242,94.6,49.2,45.4,4.15,4.28,4.01,2014
James Harden,HOU,80,55,25,2941,976979,185,97.1,87.9,3.78,4.01,3.55,2014
James Ennis III,MIA,62,27,35,1051,409482,77.6,41.5,36.1,4.43,4.66,4.19,2014
Jameer Nelson,DEN,63,25,38,1406,512421,97,50.6,46.4,4.15,4.48,3.83,2014
Jamal Crawford,LAC,64,44,20,1703,583351,110.5,57.3,53.2,3.9,4.11,3.69,2014
Jamaal Franklin,DEN,3,1,2,13,5362,1,0.6,0.4,4.37,4.92,3.74,2014
Jae Crowder,BOS,82,47,35,1647,614214,116.3,60.2,56.1,4.25,4.51,4,2014
Jack Cooley,UTA,16,10,6,87,33064,6.3,3.4,2.9,4.35,4.5,4.2,2014
Jabari Parker,MIL,25,13,12,738,284326,53.8,27.4,26.4,4.35,4.62,4.1,2014
Jabari Brown,LAL,19,4,15,568,202336,38.3,21.3,17,4.04,4.29,3.77,2014
JaVale McGee,DEN,23,8,15,256,88323,16.7,8.7,8.1,3.92,4.28,3.64,2014
JaMychal Green,MEM,24,10,14,164,61719,11.7,6,5.7,4.26,4.53,4.01,2014
JaKarr Sampson,PHI,74,17,57,1131,452718,85.7,45.5,40.3,4.56,4.86,4.26,2014
JR Smith,CLE,70,38,32,2079,742164,140.6,77,63.5,4.07,4.32,3.79,2014
JJ Redick,LAC,78,55,23,2409,964108,182.6,96.8,85.8,4.56,5.02,4.13,2014
JJ Hickson,DEN,73,26,47,1411,519565,98.4,51.2,47.2,4.19,4.48,3.91,2014
J.J. Barea,DAL,77,49,28,1362,534858,101.3,54.7,46.6,4.46,4.85,4.07,2014
Ish Smith,PHI,55,24,31,831,331801,62.8,34.6,28.2,4.54,4.98,4.09,2014
Isaiah Thomas,BOS,67,40,27,1726,613777,116.2,61.8,54.4,4.04,4.48,3.64,2014
Isaiah Canaan,PHI,46,23,23,912,345021,65.3,34.9,30.4,4.31,4.59,4.03,2014
Iman Shumpert,CLE,62,34,28,1545,588062,111.4,60.2,51.2,4.34,4.59,4.07,2014
Ian Mahinmi,IND,61,28,33,1146,411110,77.9,40.8,37.1,4.09,4.18,4,2014
Ian Clark,DEN,30,9,21,192,74255,14.1,7.6,6.5,4.39,4.62,4.14,2014
Hollis Thompson,PHI,71,13,58,1776,690599,130.8,70,60.8,4.43,4.76,4.1,2014
Henry Walker,MIA,24,12,12,628,221399,41.9,23.1,18.9,4.01,4.4,3.64,2014
Henry Sims,PHI,73,14,59,1399,522736,99,53.1,45.9,4.26,4.5,4.02,2014
Hedo Turkoglu,LAC,62,42,20,705,254233,48.2,25.1,23.1,4.11,4.28,3.94,2014
Hassan Whiteside,MIA,47,17,30,1134,386798,73.3,39,34.2,3.88,4,3.74,2014
Harrison Barnes,GSW,82,67,15,2318,928412,175.8,90.1,85.8,4.49,5.01,4.05,2014
Greivis Vasquez,TOR,82,49,33,1991,730979,138.4,74.2,64.2,4.18,4.41,3.94,2014
Greg Stiemsma,TOR,17,13,4,66,23446,4.4,2.5,1.9,4.02,4.16,3.87,2014
Greg Smith,DAL,42,27,15,363,125130,23.7,12.2,11.5,3.93,4.12,3.74,2014
Greg Monroe,DET,69,25,44,2137,754516,142.9,75.7,67.2,4.01,4.14,3.87,2014
Grant Jerrett,UTA,8,6,2,51,19367,3.7,2.1,1.6,4.35,4.6,4.06,2014
Gorgui Dieng,MIN,72,16,56,2179,747422,141.6,72.4,69.1,3.9,3.93,3.87,2014
Gordon Hayward,UTA,76,35,41,2618,973559,184.4,104.6,79.8,4.23,4.65,3.78,2014
Goran Dragic,MIA,78,41,37,2640,1032733,195.6,104.6,91,4.45,4.84,4.07,2014
Glenn Robinson III,PHI,35,2,33,261,100215,19,10.1,8.9,4.37,4.65,4.1,2014
Glen Rice,WAS,5,4,1,43,16265,3.1,1.7,1.4,4.37,4.54,4.18,2014
Glen Davis,LAC,74,52,22,904,317421,60.1,30,30.2,3.99,4.01,3.98,2014
Gigi Datome,BOS,21,11,10,209,78683,14.9,8,6.9,4.28,4.64,3.93,2014
Giannis Antetokounmpo,MIL,80,40,40,2508,924148,175,91.5,83.5,4.19,4.58,3.84,2014
Gerald Wallace,BOS,32,15,17,286,104629,19.8,10.3,9.5,4.16,4.43,3.9,2014
Gerald Henderson,CHA,80,32,48,2315,890383,168.6,92.3,76.3,4.38,4.73,4.01,2014
Gerald Green,PHX,74,34,40,1446,534643,101.3,51.7,49.6,4.21,4.43,4,2014
George Hill,IND,43,26,17,1267,462054,87.5,48.1,39.5,4.15,4.46,3.84,2014
Gary Neal,MIN,54,24,30,1192,432048,81.8,46.1,35.8,4.12,4.54,3.7,2014
Gary Harris,DEN,55,18,37,719,279361,52.9,26.8,26.1,4.41,4.53,4.29,2014
Garrett Temple,WAS,52,28,24,736,282462,53.5,27.7,25.8,4.35,4.6,4.11,2014
Gal Mekel,DAL,4,2,2,43,16485,3.1,1.8,1.3,4.29,4.73,3.8,2014
Furkan Aldemir,PHI,41,9,32,540,205203,38.9,20.6,18.3,4.33,4.47,4.17,2014
Francisco Garcia,HOU,14,10,4,200,72739,13.8,7.3,6.5,4.14,4.34,3.94,2014
Festus Ezeli,GSW,46,39,7,504,188621,35.7,18.8,16.9,4.19,4.48,3.91,2014
Evan Turner,BOS,82,40,42,2260,828866,157,83,74,4.18,4.57,3.82,2014
Evan Fournier,ORL,58,19,39,1661,633707,120,64.2,55.9,4.34,4.73,3.98,2014
Ersan Ilyasova,MIL,57,25,32,1307,464876,88,45.1,42.9,4.04,4.36,3.76,2014
Erick Green,DEN,43,15,28,410,157733,29.9,15.4,14.4,4.37,4.48,4.22,2014
Eric Moreland,SAC,3,0,3,2,802,0.2,0.1,0.1,5.88,6.81,5.18,2014
Eric Gordon,NOP,61,35,26,2018,726972,137.7,77.8,59.9,4.1,4.55,3.63,2014
Eric Bledsoe,PHX,81,39,42,2800,1010202,191.3,101.7,89.6,4.1,4.5,3.73,2014
Enes Kanter,OKC,75,32,43,2136,779732,147.7,79.9,67.8,4.18,4.47,3.88,2014
Elton Brand,ATL,36,25,11,486,170519,32.3,17.2,15.1,3.99,4.2,3.78,2014
Elliot Williams,PHI,13,6,7,119,45556,8.6,4.6,4,4.34,4.41,4.27,2014
Elijah Millsap,UTA,47,25,22,924,343665,65.1,35.2,29.9,4.25,4.42,4.07,2014
Elfrid Payton,ORL,82,25,57,2489,960042,181.8,94.3,87.5,4.4,4.7,4.12,2014
Ekpe Udoh,LAC,33,24,9,128,44756,8.5,4.6,3.9,3.98,4.06,3.88,2014
Ed Davis,LAL,79,20,59,1840,697168,132,69.9,62.2,4.31,4.46,4.15,2014
Earl Clark,BKN,10,6,4,93,35193,6.7,3.5,3.2,4.32,4.78,3.92,2014
Earl Barron,PHX,16,5,11,143,53551,10.1,5.4,4.7,4.25,4.52,3.97,2014
E'Twaun Moore,CHI,56,36,20,504,191861,36.3,19.2,17.1,4.37,4.62,4.13,2014
Dwyane Wade,MIA,61,27,34,1934,679293,128.7,70.3,58.3,4,4.31,3.68,2014
Dwight Powell,DAL,29,11,18,236,93860,17.8,9.6,8.2,4.52,5.02,4.06,2014
Dwight Howard,HOU,40,28,12,1189,397231,75.2,39.6,35.6,3.81,4.03,3.58,2014
Dwight Buycks,LAL,6,1,5,123,44605,8.4,4.9,3.5,4.1,4.45,3.7,2014
Drew Gordon,PHI,9,0,9,71,28378,5.4,2.9,2.5,4.57,4.82,4.32,2014
Drew Gooden,WAS,51,31,20,864,313375,59.4,31,28.4,4.13,4.3,3.95,2014
Draymond Green,GSW,79,64,15,2490,883590,167.3,85.2,82.1,3.97,4.47,3.56,2014
Doug McDermott,CHI,36,23,13,321,129583,24.5,13.4,11.1,4.6,4.97,4.21,2014
Dorell Wright,POR,48,28,20,592,216326,41,22.5,18.5,4.16,4.51,3.81,2014
Donatas Motiejunas,HOU,70,47,23,2006,766284,145.1,76.5,68.6,4.34,4.62,4.07,2014
Donald Sloan,IND,53,22,31,1107,421017,79.7,45.7,34,4.35,4.72,3.93,2014
Dirk Nowitzki,DAL,77,47,30,2282,755130,143,76,67.1,3.77,4.05,3.49,2014
Dion Waiters,OKC,79,46,33,2180,768080,145.5,75.6,69.9,4.03,4.26,3.8,2014
Dewayne Dedmon,ORL,59,17,42,845,297270,56.3,29.1,27.2,4.02,4.24,3.81,2014
Devyn Marble,ORL,16,3,13,208,84175,15.9,7.7,8.2,4.59,4.83,4.38,2014
Devin Harris,DAL,76,45,31,1685,617684,117,62.3,54.7,4.17,4.52,3.83,2014
Derrick Williams,SAC,74,27,47,1462,532962,100.9,54.5,46.4,4.15,4.47,3.83,2014
Derrick Rose,CHI,51,33,18,1530,575200,108.9,61,47.9,4.27,4.78,3.77,2014
Derrick Favors,UTA,74,33,41,2280,822086,155.7,84.6,71.1,4.1,4.33,3.87,2014
Deron Williams,BKN,68,34,34,2114,770451,145.9,78.7,67.3,4.14,4.51,3.79,2014
Dennis Schroder,ATL,77,57,20,1516,585616,110.9,59.7,51.2,4.39,4.75,4.04,2014
DeMarre Carroll,ATL,70,53,17,2189,792321,150.1,76.2,73.8,4.13,4.23,4.03,2014
DeMarcus Cousins,SAC,59,23,36,2013,639426,121.1,63.1,58,3.61,3.73,3.49,2014
DeMar DeRozan,TOR,60,37,23,2100,766311,145.1,80.2,64.9,4.15,4.48,3.8,2014
DeJuan Blair,WAS,29,15,14,180,58933,11.2,5.9,5.3,3.7,3.93,3.46,2014
DeAndre Jordan,LAC,82,56,26,2820,965914,182.9,93.1,89.9,3.9,4.12,3.7,2014
David West,IND,66,32,34,1895,610527,115.6,62,53.6,3.67,3.81,3.52,2014
David Wear,SAC,2,0,2,7,2774,0.5,0.3,0.2,4.31,4.77,3.77,2014
David Stockton,SAC,3,1,2,33,13164,2.5,1.3,1.2,4.54,5.43,3.85,2014
David Lee,GSW,49,37,12,904,324204,61.4,31.7,29.7,4.02,4.33,3.73,2014
Darren Collison,SAC,45,16,29,1565,576724,109.2,58.9,50.3,4.19,4.5,3.87,2014
Darrell Arthur,DEN,58,22,36,988,353967,67,34.1,33,4.08,4.43,3.78,2014
Darius Morris,BKN,38,14,24,299,120874,22.9,11.6,11.3,4.6,4.76,4.44,2014
Darius Miller,NOP,5,1,4,43,16328,3.1,1.6,1.5,4.3,4.46,4.12,2014
Dante Exum,UTA,82,38,44,1817,689779,130.6,72.3,58.4,4.32,4.61,4.03,2014
Dante Cunningham,NOP,66,37,29,1652,650227,123.1,67.7,55.5,4.48,4.74,4.2,2014
Danny Green,SAS,81,55,26,2312,922081,174.6,94.9,79.8,4.55,4.87,4.21,2014
Danny Granger,PHX,29,10,19,590,210577,39.9,21.8,18.1,4.06,4.31,3.8,2014
Danilo Gallinari,DEN,59,23,36,1426,506331,95.9,50.6,45.3,4.05,4.39,3.72,2014
Damjan Rudez,IND,68,28,40,1047,388378,73.6,40.1,33.4,4.22,4.47,3.95,2014
Damian Lillard,POR,82,51,31,2925,1093409,207.1,116.3,90.7,4.25,4.68,3.8,2014
Dahntay Jones,LAC,33,23,10,123,45468,8.6,4.4,4.2,4.2,4.22,4.19,2014
D.J. Augustin,OKC,82,37,45,1964,721776,136.7,76.2,60.5,4.19,4.59,3.78,2014
Courtney Lee,MEM,77,51,26,2354,880797,166.8,91.6,75.2,4.26,4.53,3.97,2014
Cory Joseph,SAS,79,53,26,1444,596502,113,61.6,51.4,4.7,5.06,4.34,2014
Cory Jefferson,BKN,50,18,32,531,203812,38.6,20.1,18.5,4.37,4.74,4.03,2014
Corey Brewer,HOU,79,42,37,2063,776952,147.2,76.6,70.6,4.29,4.57,4.02,2014
Cole Aldrich,NYK,60,11,49,962,342910,64.9,35.6,29.4,4.05,4.35,3.76,2014
Cody Zeller,CHA,62,27,35,1487,593103,112.3,63.7,48.6,4.54,5.1,3.97,2014
Clint Capela,HOU,12,8,4,90,34510,6.5,3.5,3.1,4.35,4.91,3.97,2014
Cleanthony Early,NYK,39,6,33,647,245179,46.4,25.6,20.9,4.28,4.61,3.95,2014
Chuck Hayes,TOR,29,17,12,255,85583,16.2,8.4,7.8,3.81,3.9,3.72,2014
Chris Paul,LAC,82,56,26,2857,989250,187.4,99.5,87.9,3.94,4.34,3.57,2014
Chris Kaman,POR,74,47,27,1398,491705,93.1,49.5,43.6,4,4.19,3.81,2014
Chris Johnson,UTA,29,9,20,527,213488,40.4,21.5,18.9,4.61,4.91,4.31,2014
Chris Douglas-Roberts,LAC,12,5,7,103,36195,6.9,3.5,3.4,4.05,3.98,4.11,2014
Chris Copeland,IND,50,19,31,828,293428,55.6,30.1,25.4,4.05,4.15,3.91,2014
Chris Bosh,MIA,44,19,25,1556,500474,94.8,50.3,44.5,3.66,3.8,3.51,2014
Chris Andersen,MIA,59,26,33,1102,389231,73.7,38.4,35.3,4.02,4.13,3.9,2014
Chase Budinger,MIN,66,8,58,1282,468305,88.7,48,40.7,4.15,4.57,3.75,2014
Charlie Villanueva,DAL,64,37,27,678,250500,47.4,24.8,22.6,4.2,4.49,3.91,2014
Channing Frye,ORL,75,23,52,1870,634398,120.2,66.9,53.3,3.87,4.38,3.37,2014
Chandler Parsons,DAL,66,41,25,2186,836184,158.4,83.6,74.8,4.35,4.71,4.01,2014
Cartier Martin,DET,23,7,16,198,76716,14.5,8.3,6.2,4.39,4.77,3.97,2014
Caron Butler,DET,78,30,48,1623,591620,112,62.4,49.7,4.14,4.52,3.75,2014
Carmelo Anthony,NYK,39,10,29,1400,475659,90.1,49.5,40.6,3.88,4.14,3.6,2014
Carlos Boozer,LAL,71,18,53,1692,573900,108.7,57.8,50.9,3.86,4,3.71,2014
Carl Landry,SAC,70,26,44,1192,419195,79.4,43,36.4,4,4.21,3.78,2014
Cameron Bairstow,CHI,18,12,6,64,21843,4.1,2.3,1.9,3.87,4.19,3.72,2014
CJ Miles,IND,70,31,39,1841,659421,124.9,68,56.9,4.09,4.34,3.83,2014
CJ McCollum,POR,62,37,25,973,399199,75.6,42.7,32.9,4.68,5.23,4.12,2014
C.J. Wilcox,LAC,21,15,6,101,36270,6.9,3.5,3.4,4.11,4.09,4.14,2014
C.J. Watson,IND,57,25,32,1422,548564,103.9,57.4,46.5,4.39,4.77,4,2014
Bryce Cotton,UTA,15,9,6,159,64714,12.3,6.9,5.4,4.65,5.02,4.25,2014
Bruno Caboclo,TOR,8,7,1,23,9147,1.7,1,0.7,4.36,4.21,4.58,2014
Brook Lopez,BKN,72,34,38,2100,711486,134.8,68.9,65.8,3.85,3.94,3.76,2014
Brian Roberts,CHA,72,30,42,1330,507974,96.2,54.1,42.1,4.36,4.8,3.9,2014
Brendan Haywood,CLE,22,14,8,119,41640,7.9,4.4,3.5,3.98,4.19,3.75,2014
Brandon Rush,GSW,33,27,6,271,106372,20.1,11.1,9,4.39,4.66,4.1,2014
Brandon Knight,PHX,62,32,30,2000,762372,144.4,76.8,67.6,4.33,4.8,3.89,2014
Brandon Jennings,DET,41,17,24,1173,458562,86.8,48.6,38.3,4.45,4.86,4.03,2014
Brandon Davies,PHI,27,6,21,423,170096,32.2,17.4,14.8,4.57,4.97,4.18,2014
Brandon Bass,BOS,82,40,42,1929,696448,131.9,69.3,62.6,4.12,4.48,3.78,2014
Brandan Wright,PHX,75,37,38,1449,505482,95.7,49.6,46.2,3.96,4.19,3.75,2014
Bradley Beal,WAS,63,37,26,2107,817816,154.9,82.9,71.9,4.41,4.8,4.03,2014
Boris Diaw,SAS,81,55,26,1984,735358,139.3,77.7,61.6,4.22,4.67,3.77,2014
Bojan Bogdanovic,BKN,78,36,42,1854,697105,132,67.7,64.3,4.27,4.42,4.13,2014
Blake Griffin,LAC,67,47,20,2356,787917,149.2,76.5,72.7,3.8,4.05,3.58,2014
Bismack Biyombo,CHA,64,26,38,1243,448003,84.8,44.6,40.3,4.1,4.32,3.89,2014
Bernard James,DAL,16,6,10,158,56160,10.6,5.4,5.2,4.04,4.15,3.93,2014
Beno Udrih,MEM,79,55,24,1494,594948,112.7,63.7,49,4.54,5.08,3.98,2014
Ben McLemore,SAC,82,29,53,2670,1059003,200.6,105.2,95.4,4.51,4.75,4.27,2014
Ben Gordon,ORL,56,17,39,790,286519,54.3,29.1,25.1,4.13,4.49,3.78,2014
Avery Bradley,BOS,77,37,40,2428,921361,174.5,88.4,86.1,4.33,4.55,4.12,2014
Austin Rivers,LAC,76,46,30,1563,597500,113.2,60.9,52.2,4.35,4.61,4.07,2014
Austin Daye,ATL,34,17,17,344,128050,24.3,13.1,11.2,4.24,4.53,3.95,2014
Arron Afflalo,POR,78,35,43,2502,915016,173.3,92.4,80.9,4.17,4.51,3.83,2014
Aron Baynes,SAS,70,49,21,1122,413454,78.3,42.1,36.2,4.2,4.48,3.92,2014
Arinze Onuaku,MIN,6,0,6,68,22736,4.3,2.2,2.2,3.79,4.15,3.64,2014
Archie Goodwin,PHX,41,16,25,535,208435,39.5,21.1,18.4,4.45,4.68,4.22,2014
Anthony Tolliver,DET,76,36,40,1433,545285,103.3,56.4,46.8,4.33,4.74,3.92,2014
Anthony Morrow,OKC,74,42,32,1806,650631,123.2,64.5,58.7,4.11,4.36,3.86,2014
Anthony Davis,NOP,68,39,29,2455,843553,159.8,85.6,74.1,3.91,4.13,3.67,2014
Anthony Bennett,MIN,56,12,44,885,327099,62,33.7,28.3,4.21,4.54,3.88,2014
Andrew Wiggins,MIN,81,16,65,2937,1066709,202,107.1,94.9,4.13,4.37,3.89,2014
Andrew Nicholson,ORL,40,14,26,492,178473,33.8,18.2,15.6,4.13,4.52,3.75,2014
