PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Shawn Marion,DAL,76,44,32,2409,888415,168.3,88.5,79.8,4.2,4.4,4.01,2013
Shavlik Randolph,PHX,14,8,6,95,34492,6.5,3.4,3.2,4.12,4.42,3.97,2013
Shaun Livingston,BKN,75,41,34,1952,725832,137.5,75.1,62.4,4.25,4.59,3.91,2013
Shannon Brown,NYK,29,19,10,251,96921,18.4,9.7,8.7,4.41,4.69,4.12,2013
Shane Larkin,DAL,48,26,22,489,197338,37.4,19.5,17.8,4.61,4.78,4.42,2013
Shane Edwards,CLE,2,0,2,12,4554,0.9,0.5,0.4,4.6,5.19,4.02,2013
Shane Battier,MIA,73,49,24,1468,559693,106,54.3,51.7,4.34,4.51,4.17,2013
Shabazz Muhammad,MIN,37,21,16,290,111517,21.1,11.1,10,4.38,4.39,4.36,2013
Seth Curry,CLE,2,1,1,13,5233,1,0.6,0.4,4.64,4.89,4.32,2013
Sergey Karasev,CLE,22,7,15,156,62241,11.8,6.3,5.5,4.57,4.96,4.19,2013
Serge Ibaka,OKC,81,59,22,2666,962346,182.3,94.5,87.8,4.11,4.4,3.84,2013
Scotty Hopson,CLE,2,2,0,7,2785,0.5,0.3,0.2,4.43,5.73,3.31,2013
Sasha Vujacic,LAC,2,1,1,10,4234,0.8,0.4,0.4,4.64,4.28,5.08,2013
Samuel Dalembert,DAL,80,48,32,1614,599312,113.5,59.5,54.1,4.24,4.39,4.09,2013
Ryan Kelly,LAL,59,15,44,1312,495053,93.8,48.9,44.9,4.3,4.73,3.92,2013
Ryan Hollins,LAC,61,43,18,482,182339,34.5,17.4,17.2,4.31,4.51,4.15,2013
Ryan Gomes,OKC,5,3,2,34,12543,2.4,1.3,1.1,4.21,4.36,4.05,2013
Ryan Anderson,NOP,22,12,10,795,284544,53.9,29.2,24.7,4.07,4.53,3.64,2013
Russell Westbrook,OKC,46,34,12,1412,525308,99.5,53.1,46.4,4.24,4.73,3.78,2013
Rudy Gobert,UTA,45,7,38,434,163532,31,16.9,14.1,4.29,4.54,4.04,2013
Rudy Gay,SAC,72,26,46,2495,906114,171.6,91.2,80.4,4.14,4.28,3.99,2013
Royce White,SAC,3,1,2,9,3297,0.6,0.3,0.3,4.09,3.8,4.42,2013
Royal Ivey,OKC,2,2,0,5,1499,0.3,0.2,0.1,3.75,4.12,3.19,2013
Roy Hibbert,IND,81,55,26,2409,827759,156.8,82.1,74.6,3.91,4,3.82,2013
Ronny Turiaf,MIN,31,16,15,606,201942,38.2,19.5,18.8,3.83,3.92,3.77,2013
Ronnie Price,ORL,31,9,22,377,147730,28,14.7,13.3,4.47,4.78,4.16,2013
Ronnie Brewer,CHI,24,17,7,160,59936,11.4,5.9,5.4,4.27,4.26,4.2,2013
Roger Mason Jr.,MIA,25,18,7,260,95367,18.1,9.3,8.8,4.19,4.27,4.11,2013
Rodney Stuckey,DET,73,27,46,1950,678608,128.5,67.1,61.4,3.96,4.14,3.78,2013
Robin Lopez,POR,82,54,28,2604,953376,180.6,93.2,87.4,4.17,4.27,4.07,2013
Robert Sacre,LAL,65,20,45,1089,401161,76,39.1,36.9,4.2,4.56,3.88,2013
Robert Covington,HOU,7,4,3,34,12863,2.4,1.2,1.2,4.26,4.92,3.75,2013
Robbie Hummel,MIN,53,26,27,655,260734,49.4,26.7,22.7,4.54,4.81,4.25,2013
Ricky Rubio,MIN,82,40,42,2638,1028920,194.9,107.7,87.2,4.45,4.89,3.99,2013
Ricky Ledo,DAL,11,5,6,33,12771,2.4,1.3,1.1,4.34,4.77,3.92,2013
Richard Jefferson,UTA,82,25,57,2213,786468,149,79.4,69.6,4.05,4.13,3.97,2013
Reggie Williams,OKC,3,3,0,17,6198,1.2,0.7,0.5,4.31,4.75,3.82,2013
Reggie Jackson,OKC,80,57,23,2277,824759,156.2,83.2,73,4.12,4.52,3.74,2013
Reggie Evans,SAC,54,18,36,899,323373,61.2,32.2,29,4.1,4.12,4.09,2013
Reggie Bullock,LAC,43,30,13,396,150170,28.4,14.5,13.9,4.32,4.51,4.14,2013
Raymond Felton,NYK,65,31,34,2017,724010,137.1,74.2,62.9,4.09,4.31,3.86,2013
Ray McCallum,SAC,45,16,29,897,351616,66.6,38.3,28.3,4.48,4.88,4.04,2013
Ray Allen,MIA,73,47,26,1936,719870,136.3,72,64.3,4.22,4.45,4,2013
Rasual Butler,IND,50,30,20,378,139248,26.4,14,12.4,4.2,4.32,4.06,2013
Rashard Lewis,MIA,60,41,19,971,369541,70,36.2,33.8,4.33,4.55,4.12,2013
Randy Foye,DEN,81,36,45,2485,917449,173.8,91.1,82.6,4.21,4.59,3.85,2013
Ramon Sessions,MIL,83,30,53,2214,804641,152.4,85.6,66.8,4.14,4.58,3.69,2013
Rajon Rondo,BOS,30,6,24,998,346831,65.7,36,29.7,3.95,4.24,3.65,2013
Quincy Pondexter,MEM,15,7,8,270,100968,19.1,10.4,8.7,4.25,4.35,4.13,2013
Quincy Miller,DEN,52,21,31,789,303914,57.6,29.2,28.3,4.39,4.64,4.14,2013
Quincy Acy,SAC,63,22,41,848,327895,62.1,33.1,29,4.43,4.57,4.28,2013
Phil Pressey,BOS,75,23,52,1132,434242,82.2,43.8,38.4,4.36,4.65,4.08,2013
Peyton Siva,DET,24,9,15,224,80271,15.2,7.9,7.3,4.07,4.2,3.94,2013
Perry Jones III,OKC,62,45,17,764,287226,54.4,28.1,26.3,4.28,4.52,4.05,2013
Pero Antic,ATL,49,23,26,902,330140,62.5,33.6,28.9,4.17,4.47,3.87,2013
Paul Pierce,BKN,74,41,33,2071,666322,126.2,67,59.2,3.67,3.89,3.44,2013
Paul Millsap,ATL,73,36,37,2453,896552,169.8,91.2,78.6,4.17,4.51,3.83,2013
Paul George,IND,80,54,26,2898,1086103,205.7,111.9,93.8,4.27,4.54,3.98,2013
Pau Gasol,LAL,60,21,39,1884,660048,125,65.5,59.6,3.99,4.26,3.74,2013
Patty Mills,SAS,81,62,19,1527,648358,122.8,64.3,58.5,4.83,5.21,4.48,2013
Patrick Patterson,TOR,64,37,27,1506,544510,103.1,55.1,48,4.14,4.33,3.95,2013
Patrick Beverley,HOU,56,39,17,1751,692613,131.2,68.5,62.6,4.5,4.81,4.2,2013
Pablo Prigioni,NYK,66,29,37,1283,504700,95.6,49.9,45.7,4.49,4.58,4.39,2013
P.J. Tucker,PHX,81,48,33,2490,900148,170.5,86.8,83.7,4.12,4.2,4.03,2013
Otto Porter Jr.,WAS,37,20,17,319,124768,23.6,12.9,10.7,4.49,4.8,4.17,2013
Othyus Jeffers,MIN,6,2,4,47,17524,3.3,1.6,1.7,4.25,4.33,4.17,2013
Orlando Johnson,SAC,45,34,11,392,144187,27.3,14.7,12.6,4.18,4.3,4.06,2013
Omri Casspi,HOU,71,46,25,1283,503214,95.3,51.3,44,4.47,4.95,4.02,2013
Omer Asik,HOU,48,32,16,968,337425,63.9,33.7,30.2,3.98,4.36,3.63,2013
