PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Malcolm Lee,PHI,25,6/5,200,UCLA,USA,2011,2,43,1,0,0,0,60,0.00%,0.00%,16.70%,0.00%,0.00%,2014
Malcolm Thomas,PHI,26,6/9,225,San Diego State,USA,Undrafted,Undrafted,Undrafted,17,45,56,7,-25.5,7.50%,21.10%,12.60%,49.20%,6.50%,2014
Manu Ginobili,SAS,37,6/6,205,None,Argentina,1999,2,57,70,738,211,293,9.8,1.80%,11.30%,23.10%,54.40%,29.00%,2014
Marc Gasol,MEM,30,7/1,265,None,Spain,2007,2,48,81,"1,413.00",630,307,3.9,4.60%,19.90%,24.50%,55.80%,19.30%,2014
Marcin Gortat,WAS,31,6/11,240,None,Poland,2005,2,57,82,"1,001.00",717,97,5.1,7.60%,20.90%,17.30%,58.70%,6.20%,2014
Marco Belinelli,SAS,29,6/5,210,None,Italy,2007,1,18,62,568,157,94,0.5,2.00%,9.50%,18.60%,55.30%,10.50%,2014
Marcus Morris Sr.,PHX,25,6/9,235,Kansas,USA,2011,1,14,81,845,385,133,-1.3,3.50%,15.10%,18.80%,52.00%,10.00%,2014
Marcus Smart,BOS,21,6/4,220,Oklahoma State,USA,2014,1,6,67,523,222,208,3.4,3.20%,8.90%,14.90%,49.10%,16.10%,2014
Marcus Thornton,PHX,28,6/4,205,Louisiana State,USA,2009,2,43,48,380,86,36,-1.6,2.90%,8.70%,22.80%,51.40%,8.70%,2014
Mario Chalmers,MIA,29,6/2,190,Kansas,USA,2008,2,34,80,813,206,307,-3.6,1.10%,8.00%,18.30%,52.10%,21.60%,2014
Markel Brown,BKN,23,6/3,190,Oklahoma State,USA,2014,2,44,47,216,107,39,-1.5,2.00%,12.00%,14.70%,45.90%,7.00%,2014
Markieff Morris,PHX,25,6/10,245,Kansas,USA,2011,1,13,82,"1,258.00",506,192,2,4.30%,14.90%,23.20%,52.30%,12.00%,2014
Marreese Speights,GSW,27,6/10,255,Florida,USA,2008,1,16,76,791,325,72,7.4,9.10%,16.80%,28.10%,54.60%,9.80%,2014
Martell Webster,WAS,28,6/7,230,None,USA,2005,1,6,32,106,46,17,-19.7,2.80%,9.90%,17.40%,44.50%,8.10%,2014
Marvin Williams,CHA,29,6/9,237,North Carolina,USA,2005,1,2,78,577,386,100,-4.5,2.70%,16.10%,13.10%,54.10%,7.80%,2014
Mason Plumlee,BKN,25,6/11,235,Duke,USA,2013,1,22,82,717,512,74,-4.6,10.30%,19.80%,19.20%,57.00%,6.90%,2014
Matt Barnes,LAC,35,6/7,226,UCLA,USA,2002,2,45,76,764,302,114,11.9,2.30%,10.80%,14.50%,57.40%,6.70%,2014
Matt Bonner,SAS,35,6/10,235,Florida,USA,2003,2,45,72,264,115,47,1.5,3.10%,9.30%,12.30%,53.60%,7.40%,2014
Matthew Dellavedova,CLE,24,6/4,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,67,319,126,204,1.7,2.60%,6.60%,12.50%,49.30%,22.80%,2014
Maurice Harkless,ORL,22,6/9,215,St. John's,USA,2012,1,15,45,158,106,25,-6.5,5.50%,10.40%,13.00%,44.90%,5.60%,2014
Meyers Leonard,POR,23,7/1,245,Illinois,USA,2012,1,11,55,327,250,32,0.6,5.50%,22.00%,15.70%,63.10%,6.30%,2014
Michael Beasley,MIA,26,6/10,235,Kansas State,USA,2008,1,2,24,212,89,32,1,2.50%,14.80%,23.60%,47.40%,11.30%,2014
Michael Carter-Williams,MIL,23,6/6,190,Syracuse,USA,2013,1,11,66,966,353,442,-3.7,2.90%,13.40%,26.40%,46.10%,37.40%,2014
Michael Kidd-Gilchrist,CHA,21,6/7,232,Kentucky,USA,2012,1,2,55,598,416,77,3.1,6.60%,19.10%,17.90%,51.90%,7.80%,2014
Mike Conley,MEM,27,6/1,175,Ohio State,USA,2007,1,4,70,"1,107.00",209,375,4.9,1.40%,8.40%,23.30%,55.80%,27.80%,2014
Mike Dunleavy,CHI,34,6/9,230,Duke,USA,2002,1,3,63,595,248,114,5.4,1.50%,11.20%,14.00%,57.30%,9.40%,2014
Mike Miller,CLE,35,6/8,218,Florida,USA,2000,1,5,52,109,91,46,-5,0.60%,12.30%,8.90%,47.10%,10.10%,2014
Mike Muscala,ATL,23,6/11,230,Bucknell,USA,2013,2,44,40,197,119,25,4.8,10.60%,12.90%,16.00%,60.80%,8.00%,2014
Mike Scott,ATL,26,6/8,237,Virginia,USA,2012,2,43,68,529,199,75,1,4.20%,13.30%,21.30%,54.30%,11.50%,2014
Miles Plumlee,MIL,26,6/11,255,Duke,USA,2012,1,26,73,294,320,34,0.6,9.60%,17.70%,12.00%,53.60%,4.10%,2014
Miroslav Raduljica,MIN,27,7/1,250,None,Serbia,Undrafted,Undrafted,Undrafted,5,8,5,0,0.3,8.70%,16.70%,21.60%,45.00%,0.00%,2014
Mirza Teletovic,BKN,29,6/9,242,None,Bosnia and He...,Undrafted,Undrafted,Undrafted,40,339,194,46,-1.2,3.00%,17.50%,19.70%,50.00%,8.70%,2014
Mitch McGary,OKC,23,6/10,255,Michigan,USA,2014,1,21,32,201,165,14,5.6,10.50%,21.80%,18.00%,55.00%,4.30%,2014
Mo Williams,CHA,32,6/1,198,Alabama,USA,2003,2,47,68,964,174,424,-3.1,1.10%,7.80%,24.30%,51.20%,35.80%,2014
Monta Ellis,DAL,29,6/3,185,None,USA,2005,2,40,80,"1,513.00",190,329,3.9,1.30%,5.60%,27.30%,50.90%,20.00%,2014
Nate Robinson,DEN,31,5/9,180,Washington,USA,2005,1,21,42,238,50,97,-10.1,2.70%,5.20%,22.50%,43.20%,30.30%,2014
Nate Wolters,MIL,24,6/4,190,South Dakota State,USA,2013,2,38,21,42,34,21,-0.7,3.20%,10.10%,13.10%,35.20%,12.70%,2014
Nazr Mohammed,CHI,37,6/10,250,Kentucky,USA,1998,1,29,23,27,38,3,4.3,8.70%,20.90%,13.10%,43.10%,3.80%,2014
Nene,WAS,32,6/11,250,None,Brazil,2002,1,7,67,737,345,123,4.7,5.30%,15.30%,21.50%,53.40%,11.70%,2014
Nerlens Noel,PHI,21,6/11,228,Kentucky,USA,2013,1,6,75,744,611,128,-9.1,7.40%,18.40%,17.00%,49.30%,9.90%,2014
Nick Calathes,MEM,26,6/6,213,Florida,USA,2009,2,45,58,243,106,146,6.4,2.20%,10.10%,17.10%,45.50%,27.40%,2014
Nick Collison,OKC,34,6/10,255,Kansas,USA,2003,1,12,66,273,250,90,3.7,7.60%,14.00%,12.60%,48.50%,12.00%,2014
Nick Johnson,HOU,22,6/3,202,Arizona,USA,2014,2,42,28,74,39,11,-8.1,4.50%,8.90%,16.70%,43.00%,6.90%,2014
Nick Young,LAL,30,6/7,210,Southern California,USA,2007,1,16,42,563,96,41,-3.5,1.60%,7.70%,24.80%,52.00%,7.10%,2014
Nicolas Batum,POR,26,6/8,200,None,France,2008,1,25,71,664,416,341,4.5,2.60%,14.10%,14.30%,51.60%,20.00%,2014
Nik Stauskas,SAC,21,6/6,205,Michigan,Canada,2014,1,8,73,319,88,67,-5.9,1.00%,6.60%,13.80%,49.20%,9.20%,2014
Nikola Mirotic,CHI,24,6/10,220,None,Montenegro,2011,1,23,82,833,404,97,5,3.90%,19.30%,22.50%,55.60%,10.20%,2014
Nikola Pekovic,MIN,29,6/11,295,None,Montenegro,2008,2,31,31,386,234,27,-4.4,10.40%,18.10%,22.40%,50.20%,5.70%,2014
Nikola Vucevic,ORL,24,7/1,260,Southern California,Montenegro,2011,1,16,74,"1,428.00",810,147,-6.1,9.50%,23.60%,25.40%,54.80%,10.60%,2014
Noah Vonleh,CHA,19,6/10,240,Indiana,USA,2014,1,9,25,83,86,4,-13.3,9.20%,22.70%,16.70%,47.50%,2.90%,2014
Norris Cole,NOP,26,6/2,175,Cleveland State,USA,2011,1,28,75,573,159,255,-5.3,0.80%,8.00%,17.90%,48.30%,22.90%,2014
O.J. Mayo,MIL,27,6/5,210,Southern California,USA,2008,1,3,71,806,187,197,-1.5,1.90%,8.90%,23.20%,52.90%,19.40%,2014
Ognjen Kuzmic,GSW,25,7/1,260,None,Serbia,2012,2,52,16,20,17,6,-28.6,10.90%,11.50%,10.90%,72.70%,15.40%,2014
Omer Asik,NOP,28,7/1,255,None,Turkey,2008,2,36,76,557,748,72,1,12.30%,26.00%,13.80%,54.50%,5.40%,2014
Omri Casspi,SAC,27,6/9,225,None,Israel,2009,1,23,67,593,260,102,-6,4.00%,14.00%,18.20%,58.00%,12.10%,2014
Otto Porter Jr.,WAS,22,6/8,198,Georgetown,USA,2013,1,3,74,445,221,65,-0.9,5.10%,10.30%,14.70%,52.30%,6.80%,2014
P.J. Tucker,PHX,30,6/6,224,Texas-Austin,USA,2006,2,35,78,713,502,122,-1.2,4.60%,15.70%,13.80%,54.10%,7.60%,2014
PJ Hairston,CHA,22,6/6,230,North Carolina,USA,2014,1,26,45,254,92,21,-8.1,2.80%,10.10%,19.00%,44.60%,5.10%,2014
Pablo Prigioni,HOU,38,6/3,185,None,Argentina,Undrafted,Undrafted,Undrafted,67,274,119,171,-3.3,2.50%,7.60%,11.30%,55.70%,21.30%,2014
Patrick Beverley,HOU,26,6/1,210,Arkansas,USA,2009,2,42,56,568,237,192,2.7,3.80%,9.90%,16.10%,50.90%,17.10%,2014
Patrick Christopher,MEM,27,-,-,California,USA,Undrafted,Undrafted,Undrafted,4,6,6,0,-27.8,7.10%,15.40%,20.30%,25.00%,0.00%,2014
Patrick Patterson,TOR,26,6/9,235,Kentucky,USA,2010,1,14,81,648,433,155,5.6,5.70%,14.50%,12.70%,56.80%,10.80%,2014
Patty Mills,SAS,26,6/1,185,St.Mary's College of California,Australia,2009,2,55,51,351,75,87,9.9,2.50%,6.40%,20.80%,49.60%,17.20%,2014
Pau Gasol,CHI,34,7/1,250,None,Spain,2001,1,3,78,"1,446.00",919,210,3.2,8.00%,23.70%,24.20%,55.00%,14.20%,2014
Paul George,IND,25,6/9,220,Fresno State,USA,2010,1,10,6,53,22,6,9.5,4.50%,17.30%,31.90%,49.20%,12.20%,2014
Paul Millsap,ATL,30,6/8,253,Louisiana Tech,USA,2006,2,47,73,"1,218.00",570,223,8.3,6.20%,18.10%,23.30%,56.50%,14.90%,2014
Paul Pierce,WAS,37,6/7,235,Kansas,USA,1998,1,10,73,868,294,144,4.4,2.40%,12.80%,19.50%,58.00%,11.50%,2014
Pero Antic,ATL,32,6/11,260,None,Macedonia,Undrafted,Undrafted,Undrafted,63,356,189,49,7.9,5.60%,12.70%,16.70%,50.80%,7.20%,2014
Perry Jones III,OKC,23,6/11,235,Baylor,USA,2012,1,28,43,184,76,18,-10.2,0.90%,10.50%,15.20%,45.90%,4.60%,2014
Phil Pressey,BOS,24,5/11,175,Missouri,USA,Undrafted,Undrafted,Undrafted,50,177,80,117,0.9,2.00%,10.40%,17.10%,45.30%,30.00%,2014
Quincy Acy,NYK,24,6/7,240,Baylor,USA,2012,2,37,68,398,301,68,-7.3,5.90%,17.60%,15.10%,53.30%,9.10%,2014
Quincy Miller,DET,22,6/9,210,Baylor,USA,2012,2,38,10,29,20,8,17.4,3.00%,11.60%,16.20%,33.80%,9.20%,2014
Quincy Pondexter,NOP,27,6/7,220,Washington,USA,2010,1,26,75,538,195,94,0.3,3.00%,7.90%,13.50%,55.00%,8.00%,2014
Rajon Rondo,DAL,29,6/1,186,Kentucky,USA,2006,1,21,68,608,373,538,-0.9,3.60%,14.50%,19.10%,44.80%,39.30%,2014
Ramon Sessions,WAS,29,6/3,190,Nevada-Reno,USA,2007,2,56,64,402,144,182,-6.9,2.00%,9.50%,18.70%,49.00%,25.80%,2014
Randy Foye,DEN,31,6/4,213,Villanova,USA,2006,1,7,50,435,85,119,-4.5,0.80%,7.10%,19.00%,51.00%,17.60%,2014
Rasual Butler,WAS,36,6/7,215,La Salle,USA,2002,2,52,75,580,197,63,-1.9,1.80%,10.50%,17.30%,53.10%,6.70%,2014
Ray McCallum,SAC,24,6/3,190,Detroit,USA,2013,2,36,68,503,180,188,-8.1,3.50%,8.90%,17.50%,49.60%,21.00%,2014
Raymond Felton,DAL,31,6/1,205,North Carolina,USA,2005,1,5,29,108,26,41,-4.3,0.70%,8.00%,19.90%,48.00%,23.70%,2014
Reggie Bullock,PHX,24,6/7,205,North Carolina,USA,2013,1,25,36,69,50,8,0.4,0.30%,14.00%,11.10%,46.60%,3.80%,2014
Reggie Evans,SAC,35,6/8,245,Iowa,USA,Undrafted,Undrafted,Undrafted,47,176,299,32,-3.5,12.40%,27.00%,12.80%,49.00%,6.50%,2014
Reggie Jackson,DET,25,6/3,208,Boston College,USA,2011,1,24,77,"1,117.00",327,462,2,2.30%,11.50%,24.40%,51.10%,33.30%,2014
Reggie Williams,SAS,28,6/6,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,20,37,17,10,-21.6,4.50%,11.70%,17.60%,45.40%,16.90%,2014
Richard Jefferson,DAL,35,6/7,234,Arizona,USA,2001,1,13,74,432,183,61,2,2.00%,12.10%,15.00%,57.70%,7.30%,2014
Ricky Ledo,NYK,22,6/7,195,Providence,USA,2013,2,43,17,90,36,19,-10.6,6.10%,8.60%,23.20%,42.60%,14.30%,2014
Ricky Rubio,MIN,24,6/4,192,None,Spain,2009,1,5,22,226,125,193,-1.4,2.60%,15.20%,19.30%,45.20%,42.20%,2014
Robbie Hummel,MIN,26,6/9,219,Purdue,USA,2012,2,58,45,198,134,27,-9.1,4.00%,14.70%,12.00%,53.60%,5.80%,2014
Robert Covington,PHI,24,6/9,215,Tennessee State,USA,Undrafted,Undrafted,Undrafted,70,943,316,105,-3.7,3.00%,12.80%,21.30%,55.40%,9.50%,2014
Robert Sacre,LAL,26,7/1,270,Gonzaga,Canada,2012,2,60,67,307,233,55,-2.8,7.40%,12.70%,14.90%,44.90%,7.60%,2014
Robin Lopez,POR,27,7/1,255,Stanford,USA,2008,1,15,59,566,394,55,4.3,11.60%,11.50%,15.30%,57.40%,5.00%,2014
Rodney Hood,UTA,22,6/8,215,Duke,USA,2014,1,23,50,433,117,83,3.8,0.80%,10.10%,19.20%,52.90%,13.60%,2014
Rodney Stuckey,IND,29,6/5,205,Eastern Washington,USA,2007,1,15,71,896,248,219,-0.6,1.90%,10.70%,23.00%,52.80%,20.00%,2014
Ronnie Price,LAL,32,6/2,190,Utah Valley,USA,Undrafted,Undrafted,Undrafted,43,221,69,165,-3.3,1.80%,5.20%,13.20%,45.50%,24.40%,2014
Ronny Turiaf,MIN,32,6/10,249,Gonzaga,France,2005,2,37,2,0,1,2,-16.4,0.00%,7.10%,0.00%,0.00%,16.70%,2014
Roy Hibbert,IND,28,7/2,290,Georgetown,USA,2008,1,17,76,802,540,84,-1.1,8.20%,19.30%,21.60%,50.10%,7.60%,2014
Rudy Gay,SAC,28,6/8,230,Connecticut,USA,2006,1,8,68,"1,432.00",399,250,-2.4,4.20%,12.40%,26.30%,55.60%,18.50%,2014
Rudy Gobert,UTA,23,7/1,245,None,France,2013,1,27,82,686,775,109,0.5,12.30%,23.20%,13.80%,62.70%,8.70%,2014
Russ Smith,MEM,24,6/1,165,Louisville,USA,2014,2,47,12,30,6,8,15.6,1.30%,6.80%,25.10%,48.80%,21.60%,2014
Russell Westbrook,OKC,26,6/3,200,UCLA,USA,2008,1,4,67,"1,886.00",488,574,4.7,5.10%,15.10%,36.80%,53.60%,43.00%,2014
Ryan Anderson,NOP,27,6/10,240,California,USA,2008,1,21,61,833,295,55,-1.1,6.30%,11.40%,22.50%,52.40%,5.40%,2014
Ryan Hollins,SAC,30,7/1,240,UCLA,USA,2006,2,50,46,137,103,14,-5.3,8.50%,13.70%,13.10%,64.80%,4.80%,2014
Ryan Kelly,LAL,24,6/11,230,Duke,USA,2013,2,48,52,332,146,92,-6.1,1.00%,10.90%,14.00%,47.30%,11.30%,2014
Samuel Dalembert,NYK,35,6/11,255,Seton Hall,Haiti,2001,1,26,32,128,168,29,-15.8,10.10%,21.80%,14.90%,46.10%,8.80%,2014
Sean Kilpatrick,MIN,25,6/4,210,Cincinnati,USA,Undrafted,Undrafted,Undrafted,4,22,6,4,11.5,1.70%,7.80%,15.00%,50.60%,8.20%,2014
Sebastian Telfair,OKC,30,6/1,170,None,USA,2004,1,13,16,134,30,45,-11.2,0.60%,8.80%,21.90%,47.90%,29.00%,2014
Serge Ibaka,OKC,25,6/10,245,None,Republic of t...,2008,1,24,64,917,499,55,3.9,6.30%,15.80%,19.00%,54.90%,4.10%,2014
Sergey Karasev,BKN,21,6/7,208,None,Russia,2013,1,19,33,153,66,46,1.7,4.10%,7.80%,13.90%,50.80%,12.30%,2014
Seth Curry,PHX,24,6/2,185,Duke,USA,Undrafted,Undrafted,Undrafted,2,0,2,1,-25,0.00%,28.60%,16.70%,0.00%,20.00%,2014
Shabazz Muhammad,MIN,22,6/6,227,UCLA,USA,2013,1,14,38,512,154,44,-8.9,6.90%,11.10%,23.90%,55.60%,9.10%,2014
Shabazz Napier,MIA,23,6/1,175,Connecticut,USA,2014,1,24,51,261,113,130,-2.2,1.80%,10.20%,15.40%,51.70%,21.60%,2014
Shane Larkin,NYK,22,5/11,175,Miami,USA,2013,1,18,76,470,176,226,-10.7,1.50%,8.40%,13.40%,50.40%,20.10%,2014
Shannon Brown,MIA,29,6/3,215,Michigan State,USA,2006,1,25,5,20,1,3,-8.7,0.00%,1.30%,14.00%,48.20%,4.90%,2014
Shaun Livingston,GSW,29,6/7,192,None,USA,2004,1,4,78,461,183,259,1,3.00%,8.80%,15.90%,52.90%,26.70%,2014
Shavlik Randolph,PHX,31,6/10,236,Duke,USA,Undrafted,Undrafted,Undrafted,21,24,38,4,-8,10.10%,18.20%,14.20%,29.80%,5.10%,2014
Shawn Marion,CLE,37,6/7,228,UNLV,USA,1999,1,9,57,276,202,51,3.1,5.80%,12.60%,12.60%,48.90%,6.90%,2014
Shawne Williams,DET,29,6/10,230,Memphis,USA,2006,1,17,63,341,166,44,-5.1,3.50%,13.10%,14.90%,53.70%,6.80%,2014
Shayne Whittington,IND,24,6/11,250,Western Michigan,USA,Undrafted,Undrafted,Undrafted,20,57,29,6,7,9.40%,17.80%,24.30%,54.70%,9.40%,2014
Shelvin Mack,ATL,25,6/3,207,Butler,USA,2011,2,34,55,299,79,155,2.3,1.00%,8.60%,19.00%,48.90%,29.80%,2014
Sim Bhullar,SAC,22,7/5,360,New Mexico State,Canada,Undrafted,Undrafted,Undrafted,3,2,1,1,0,0.00%,33.30%,28.60%,50.00%,50.00%,2014
Solomon Hill,IND,24,6/7,225,Arizona,USA,2013,1,23,82,729,314,184,-3.7,2.90%,10.30%,15.90%,50.70%,12.10%,2014
Spencer Dinwiddie,DET,22,6/6,200,Colorado,USA,2014,2,38,34,145,48,104,-7.9,0.80%,10.00%,20.80%,39.40%,39.40%,2014
Spencer Hawes,LAC,27,7/1,245,Washington,USA,2007,1,10,73,425,258,88,-3.1,2.40%,17.30%,18.10%,47.80%,11.00%,2014
Stephen Curry,GSW,27,6/3,190,Davidson,USA,2009,1,7,80,"1,900.00",341,619,16.3,2.20%,10.00%,27.70%,63.80%,35.80%,2014
Steve Blake,POR,35,6/3,172,Maryland,USA,2003,2,38,81,350,137,288,3.2,1.00%,7.30%,12.90%,50.70%,26.40%,2014
Steve Novak,OKC,32,6/10,225,Marquette,USA,2006,2,32,35,63,22,11,-16.1,0.90%,10.00%,12.90%,55.40%,8.80%,2014
Steven Adams,OKC,21,7/1,255,Pittsburgh,New Zealand,2013,1,12,70,537,523,66,1.8,10.70%,17.90%,14.20%,54.90%,5.60%,2014
T.J. Warren,PHX,21,6/8,215,North Carolina State,USA,2014,1,14,40,245,85,25,-8.5,6.10%,7.10%,17.30%,55.10%,6.90%,2014
Taj Gibson,CHI,30,6/9,225,Southern California,USA,2009,1,26,62,640,396,71,1.7,9.50%,13.20%,17.50%,54.50%,7.10%,2014
Tarik Black,LAL,23,6/11,257,Kansas,USA,Undrafted,Undrafted,Undrafted,63,379,368,42,-3.8,11.40%,20.10%,13.80%,58.30%,5.90%,2014
Tayshaun Prince,DET,35,6/9,215,Kentucky,USA,2002,1,23,58,434,210,93,-4.5,3.60%,11.40%,15.00%,50.40%,10.90%,2014
Terrence Jones,HOU,23,6/9,255,Kentucky,USA,2012,1,18,33,386,220,36,4.8,8.80%,14.30%,18.40%,56.70%,6.70%,2014
Terrence Ross,TOR,24,6/7,195,Washington,USA,2012,1,8,82,807,226,86,0.6,1.60%,9.50%,18.10%,51.90%,6.30%,2014
Thabo Sefolosha,ATL,31,6/7,222,None,Switzerland,2006,1,13,52,278,223,75,11.2,5.60%,16.90%,14.30%,50.60%,11.60%,2014
Thaddeus Young,BKN,27,6/8,221,Georgia Tech,USA,2007,1,12,76,"1,071.00",411,173,-4.5,5.20%,12.10%,21.20%,50.70%,11.80%,2014
Thomas Robinson,PHI,24,6/10,237,Kansas,USA,2012,1,5,54,308,303,33,0.4,10.60%,25.00%,19.00%,50.20%,7.00%,2014
Tiago Splitter,SAS,30,6/11,245,None,Brazil,2007,1,28,52,428,252,78,11.9,9.20%,15.50%,18.10%,60.10%,11.00%,2014
Tim Duncan,SAS,39,6/11,250,Wake Forest,US Virgin Isl...,1997,1,1,77,"1,070.00",704,230,6.8,8.10%,23.60%,22.10%,56.00%,16.60%,2014
Tim Frazier,POR,24,6/1,170,Penn State,USA,Undrafted,Undrafted,Undrafted,11,57,28,60,-2.2,2.30%,8.90%,17.00%,40.60%,36.10%,2014
Tim Hardaway Jr.,NYK,23,6/6,210,Michigan,USA,2013,1,24,70,804,156,127,-11.1,0.70%,8.80%,22.90%,51.20%,13.40%,2014
Timofey Mozgov,CLE,28,7/1,250,None,Russia,Undrafted,Undrafted,Undrafted,81,785,591,55,6.7,10.00%,18.60%,16.60%,59.40%,4.00%,2014
Tobias Harris,ORL,22,6/9,235,Tennessee,USA,2011,1,19,68,"1,164.00",430,124,-6.1,3.10%,15.40%,22.20%,55.10%,8.80%,2014
Toney Douglas,NOP,29,6/2,195,Florida State,USA,2009,1,29,12,51,22,24,2.4,1.20%,11.10%,18.00%,45.00%,21.40%,2014
Tony Allen,MEM,33,6/4,213,Oklahoma State,USA,2004,1,25,63,539,280,86,8.5,6.50%,10.60%,16.20%,52.80%,8.10%,2014
Tony Parker,SAS,33,6/2,185,None,France,2001,1,28,68,976,129,335,4.7,0.80%,5.90%,24.20%,53.90%,27.80%,2014
Tony Snell,CHI,23,6/7,200,New Mexico,USA,2013,1,20,72,435,176,62,2.2,2.10%,9.60%,13.90%,55.00%,6.80%,2014
Tony Wroten,PHI,22,6/6,205,Washington,USA,2012,1,25,30,507,86,157,-12.7,2.30%,7.30%,30.00%,49.40%,33.80%,2014
Toure' Murry,UTA,25,6/5,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,5,6,1,1,0,5.90%,0.00%,25.00%,51.00%,11.10%,2014
Travis Wear,NYK,24,6/10,225,UCLA,USA,Undrafted,Undrafted,Undrafted,51,199,106,40,-6.2,4.70%,11.60%,17.20%,45.10%,10.40%,2014
Trevor Ariza,HOU,29,6/8,215,UCLA,USA,2004,2,43,82,"1,048.00",459,209,4,2.60%,12.70%,16.30%,53.90%,11.20%,2014
Trevor Booker,UTA,27,6/8,230,Clemson,USA,2010,1,23,79,567,397,83,1,9.00%,16.70%,17.70%,53.60%,9.30%,2014
Trey Burke,UTA,22,6/1,185,Michigan,USA,2013,1,9,76,973,204,328,-1.7,1.40%,7.70%,23.20%,45.50%,24.50%,2014
Tristan Thompson,CLE,24,6/9,238,Texas-Austin,Canada,2011,1,4,82,693,657,39,5.9,12.40%,17.40%,13.90%,58.00%,2.80%,2014
Troy Daniels,CHA,23,6/4,205,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,47,176,33,22,-10.8,1.80%,6.40%,20.30%,51.50%,11.10%,2014
Ty Lawson,DEN,27,5/11,195,North Carolina,USA,2009,1,18,75,"1,143.00",234,720,-0.3,1.50%,7.20%,20.30%,52.60%,40.80%,2014
Tyler Ennis,MIL,20,6/3,175,Syracuse,Canada,2014,1,18,33,121,35,73,-7.3,1.60%,7.30%,19.90%,41.10%,27.80%,2014
Tyler Hansbrough,TOR,29,6/9,250,North Carolina,USA,2009,1,13,74,270,265,21,10.3,10.60%,15.90%,10.40%,59.70%,2.90%,2014
Tyler Johnson,MIA,23,6/3,190,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,190,81,42,-4.7,2.30%,10.80%,16.10%,50.60%,11.50%,2014
Tyler Zeller,BOS,25,7/1,253,North Carolina,USA,2012,1,17,82,833,465,113,-2,8.10%,17.80%,19.50%,59.40%,10.60%,2014
Tyreke Evans,NOP,25,6/6,220,Memphis,USA,2009,1,4,79,"1,313.00",416,521,3.2,3.00%,12.70%,25.50%,50.80%,31.60%,2014
Tyrus Thomas,MEM,28,6/10,225,Louisiana State,USA,2006,1,4,2,4,0,1,-8.7,0.00%,0.00%,12.50%,106.40%,20.00%,2014
Tyson Chandler,DAL,32,7/1,240,None,USA,2001,1,2,75,771,864,84,4.7,12.90%,24.40%,12.60%,69.70%,5.30%,2014
Udonis Haslem,MIA,35,6/8,235,Florida,USA,Undrafted,Undrafted,Undrafted,62,261,258,46,-8.2,7.20%,19.50%,14.10%,48.80%,7.80%,2014
Vander Blue,LAL,22,6/4,200,Marquette,USA,Undrafted,Undrafted,Undrafted,2,22,9,8,-25,2.10%,10.40%,20.20%,34.20%,17.80%,2014
Victor Claver,POR,26,6/9,224,None,Spain,2009,1,22,10,24,20,1,14.3,4.00%,22.70%,14.50%,60.00%,1.90%,2014
Victor Oladipo,ORL,23,6/4,210,Indiana,USA,2013,1,2,72,"1,292.00",302,295,-6.1,2.00%,10.20%,24.90%,52.70%,18.80%,2014
Vince Carter,MEM,38,6/6,220,North Carolina,USA,1998,1,5,66,384,133,79,0.5,2.40%,9.60%,19.30%,44.50%,11.00%,2014
Wayne Ellington,LAL,27,6/4,200,North Carolina,USA,2009,1,28,65,650,210,105,-3.9,1.70%,10.50%,18.20%,50.40%,10.10%,2014
Wesley Johnson,LAL,27,6/7,215,Syracuse,USA,2010,1,4,76,753,319,124,-6.7,2.90%,11.60%,16.10%,50.90%,8.40%,2014
Wesley Matthews,POR,28,6/5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,60,956,222,139,6.8,1.80%,8.50%,19.30%,58.60%,11.00%,2014
Will Barton,DEN,24,6/6,175,Memphis,USA,2012,2,40,58,397,162,81,-0.7,2.40%,13.40%,19.70%,50.30%,13.50%,2014
Will Bynum,WAS,32,6/1,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,7,22,6,18,-42.8,2.90%,6.10%,26.10%,33.60%,48.60%,2014
Will Cherry,TOR,24,-,-,Montana,USA,Undrafted,Undrafted,Undrafted,8,15,5,8,-3.6,1.40%,5.60%,16.50%,34.70%,17.40%,2014
Willie Green,ORL,33,6/3,205,Detroit,USA,2003,2,41,52,306,79,68,-4.9,1.50%,6.70%,17.20%,47.70%,12.10%,2014
Wilson Chandler,DEN,28,6/8,225,DePaul,USA,2007,1,23,78,"1,085.00",475,134,-3.9,3.60%,15.50%,19.80%,52.30%,8.60%,2014
Xavier Henry,LAL,24,6/6,220,Kansas,USA,2010,1,12,9,20,4,3,9.4,2.20%,2.70%,14.20%,42.40%,4.80%,2014
Zach LaVine,MIN,20,6/5,183,UCLA,USA,2014,1,13,77,778,214,276,-14.2,1.40%,10.30%,21.80%,51.50%,25.00%,2014
