PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Aron Baynes,SAS,27,6/10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,53,161,145,34,3.3,11.90%,18.60%,18.40%,46.70%,10.30%,2013
Arron Afflalo,ORL,28,6/5,215,UCLA,USA,2007,1,27,73,"1,330.00",262,248,-7.4,1.30%,9.20%,22.80%,57.40%,16.90%,2013
Austin Daye,SAS,26,6/11,200,Gonzaga,USA,2009,1,15,22,66,27,8,0,3.40%,15.60%,22.40%,45.60%,8.10%,2013
Austin Rivers,NOP,21,6/4,200,Duke,USA,2012,1,10,69,530,129,160,0,2.00%,8.00%,20.90%,48.20%,19.30%,2013
Avery Bradley,BOS,23,6/2,180,Texas-Austin,USA,2010,1,19,60,891,226,85,-2.1,2.50%,9.70%,23.10%,51.00%,7.90%,2013
Ben Gordon,CHA,31,6/3,200,Connecticut,USA,2004,1,3,19,99,27,21,4.2,1.00%,8.20%,21.90%,42.20%,12.20%,2013
Ben McLemore,SAC,21,6/5,195,Kansas,USA,2013,1,7,82,720,235,82,-4.5,2.40%,8.60%,16.60%,48.50%,5.80%,2013
Beno Udrih,MEM,31,6/3,210,None,Slovenia,2004,1,28,41,200,59,116,-8.9,1.50%,8.50%,16.70%,52.30%,27.80%,2013
Bernard James,DAL,29,6/10,240,Florida State,USA,2012,2,33,30,28,42,3,-1.3,10.50%,17.80%,10.60%,50.30%,2.90%,2013
Bismack Biyombo,CHA,21,6/9,245,None,DRC,2011,1,7,77,222,366,8,-1.9,9.40%,23.50%,9.40%,60.60%,1.20%,2013
Blake Griffin,LAC,25,6/10,251,Oklahoma,USA,2009,1,1,80,"1,930.00",757,309,9.8,7.00%,19.10%,28.60%,58.30%,18.50%,2013
Boris Diaw,SAS,32,6/8,250,None,France,2003,1,21,79,717,326,222,8.3,4.10%,12.60%,16.70%,57.80%,16.20%,2013
Bradley Beal,WAS,21,6/5,207,Florida,USA,2012,1,3,73,"1,249.00",273,243,2,2.20%,9.00%,24.00%,50.70%,15.50%,2013
Brandan Wright,DAL,26,6/10,210,North Carolina,USA,2007,1,8,58,525,244,31,5.3,10.30%,13.90%,17.20%,69.50%,4.60%,2013
